ACCOUNT_MODEL,ACCOUNT_TYPE_ALIAS,ACCOUNT_TYPE_ID,ACCOUNT_TYPE_NAME,APPLY_CREDIT_LIMIT,BALANCE_DIRECTION,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CUSTOMER_APPLIED,DEBIT_QUERY_BALANCE,DESCRIPTION,EXCLUDE_LIMIT,FOR_CHARGE_CREDIT,FOR_CHARGE_DEBIT,FOR_TAX_CREDIT,FOR_TAX_DEBIT,GROUP_APPLIED,ISLOYALTYPROVIDERACCT,IS_ALLOW_OVER_DRAW,IS_SHARABLE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,ORGANIZATION_APPLIED,REALTIME_UPDATE,SP_APPLIED,STATUS,STATUS_GROUP,UNIQUE_ID,VALUE_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"1001","Commission Account","10019","Commission Account","","2","203000000000010503","2015-07-17 16:45:46.615000","TZS","false","","Collects commission earned by agents","true","true","true","true","true","False","","true","0","203000000000010503","2015-07-17 16:45:54.285000","2015-07-17 16:45:54.285000","true","true","false","30","1002|1006|1005|1000|1004|1000|1002|1006","30120466","1001"<endrec>
"1001","Commission Payable Account","10024","Commission Payable Account","","2","203000000000010503","2015-07-17 16:46:30.669000","TZS","false","","Holding account for commission invoiced by the head office, but not yet invoiced by independent stores","true","false","false","true","true","False","","false","0","203000000000010503","2015-07-17 16:46:39.678000","2015-07-17 16:46:39.678000","true","true","false","30","1002|1006|1005|1000|1004|1000|1002|1006","30120467","1001"<endrec>
"1001","Charges Paid Account","10016","Charges Paid Account","","2","203000000000010503","2015-07-17 16:52:12.473000","TZS","false","","Accounts for charges levied against businesses for money transfer services","false","true","true","false","false","False","","true","1","203000000000010503","2015-07-17 16:52:18.837000","2015-07-17 16:52:18.837000","true","true","false","30","1002|1006|1005|1000|1004|1000|1002|1006","30120468","1001"<endrec>
"1001","Float Account","10013","Float Account","","2","203000000000010503","2015-07-17 16:52:50.149000","TZS","false","","The float account is used to carry out Agent operations such as deposit and withdrawal of funds","false","true","true","false","false","false","","false","0","203000000000010806","2016-08-18 12:45:33.119000","2016-08-18 12:45:00.000000","true","true","false","50","1002|1006|1005|1000|1004|1000|1002|1006","30120469","1001"<endrec>
"1001","M-PESA Account","10011","M-PESA Account","","2","203000000000010503","2015-07-17 16:53:21.519000","TZS","true","","M-PESA working capital account","false","true","true","false","false","False","","false","0","203000000000011204","2015-08-25 04:58:50.881000","2015-08-25 04:58:50.881000","true","true","true","50","1002|1006|1005|1000|1004|1000|1002|1006","30120470","1001"<endrec>
"1001","Settlement Account","10089","Settlement Account","","2","203000000000010503","2015-07-17 16:53:45.841000","TZS","false","","Holds the debits and credits created during the automated settlement of M-Pesa Revenue or Airtime","false","false","false","false","false","False","","true","0","203000000000010502","2015-07-20 18:37:09.880000","2015-07-20 18:37:09.880000","true","true","true","50","1002|1006|1000|1000|1002|1006","30120471","1001"<endrec>
"1001","Settlement Account","10089","Settlement Account","","2","203000000000010502","2015-07-20 18:36:59.901000","TZS","false","","Holds the debits and credits created during the automated settlement of M-Pesa Revenue or Airtime","true","false","false","false","false","False","","true","0","203000000000010502","2015-07-24 11:09:48.757000","2015-07-24 11:09:48.757000","true","true","true","50","1002|1006|1000|1000|1002|1006","30121467","1001"<endrec>
"1001","Commission Account","10019","Agency Commission Account","","2","203000000000010164","2014-11-25 16:15:52.410000","TZS","false","","Agency Commission Account","true","true","true","false","true","False","","true","0","203000000000010164","2014-11-25 16:24:33.883000","2014-11-25 16:24:33.883000","true","true","false","50","1004|1005|1000|1002|1006","30131079","1001"<endrec>
"1001","Commission Account","10019","Commission Account","","2","203000000000010164","2014-11-25 16:24:02.627000","TZS","false","","Collects commission earned by agents","true","true","true","false","true","False","","true","0","203000000000010503","2015-07-17 16:45:54.242000","2015-07-17 16:45:54.242000","true","true","false","50","1004|1005|1000|1002|1006","30131080","1001"<endrec>
"1001","Deposit Account","10136","Deposit Account","","2","203000000000010164","2014-11-28 18:05:12.329000","TZS","false","","This account can be used by Financial Institutions to receive deposits into their customers' savings accounts","false","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:05:54.765000","2014-11-28 18:05:54.765000","true","true","false","30","1000|1002|1006","30132181","1001"<endrec>
