CHANNEL,LOAD_DATA_TS,SERVICE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"1002","","937311872"<endrec>
"1002","","937311873"<endrec>
"1002","","937313854"<endrec>
"1002","","937313856"<endrec>
"1002","","937313859"<endrec>
"1002","","937315865"<endrec>
"1002","","937323878"<endrec>
"1002","","937325878"<endrec>
"1002","","937325892"<endrec>
"1002","","937325898"<endrec>
"1002","","937327886"<endrec>
"1002","","937327888"<endrec>
"1002","","937327893"<endrec>
"1002","","937327894"<endrec>
"1002","","937328873"<endrec>
"1002","","937329895"<endrec>
"1002","","937329896"<endrec>
"1002","","937329909"<endrec>
"1002","","937329911"<endrec>
"1002","","937329912"<endrec>
"1002","","937329961"<endrec>
"1002","","937329963"<endrec>
"1002","","937330926"<endrec>
"1002","","937330927"<endrec>
"1002","","937330928"<endrec>
"1002","","937330931"<endrec>
"1002","","937330951"<endrec>
"1002","","937330967"<endrec>
"1002","","937331892"<endrec>
"1002","","937332880"<endrec>
"1002","","937332882"<endrec>
"1002","","937332883"<endrec>
"1002","","937332891"<endrec>
"1002","","937332910"<endrec>
"1002","","937332911"<endrec>
"1002","","937332912"<endrec>
"1002","","937332913"<endrec>
"1002","","937333897"<endrec>
"1002","","937333898"<endrec>
"1002","","937333899"<endrec>
"1002","","937333900"<endrec>
"1002","","937333901"<endrec>
"1002","","937333902"<endrec>
"1002","","937336878"<endrec>
"1002","","937336879"<endrec>
"1002","","937340878"<endrec>
"1002","","937340881"<endrec>
"1002","","937342889"<endrec>
"1002","","937342893"<endrec>
"1002","","937342903"<endrec>
"1002","","937343896"<endrec>
"1002","","937344920"<endrec>
"1002","","937347965"<endrec>
"1002","","937348954"<endrec>
"1002","","937349913"<endrec>
"1002","","937351928"<endrec>
"1002","","937351951"<endrec>
"1002","","937352020"<endrec>
"1002","","937352928"<endrec>
"1002","","937356936"<endrec>
"1002","","937356946"<endrec>
"1002","","937356952"<endrec>
"1002","","937356956"<endrec>
"1002","","937356970"<endrec>
