LOAD_DATA_TS,PROPERTY_CODE,PROPERTY_VALUE,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"","FX_BUSINESS_TYPE","4","937537737"<endrec>
"","FX_BUSINESS_TYPE","4","937537738"<endrec>
"","FX_BUSINESS_TYPE","4","937537739"<endrec>
"","FX_BUSINESS_TYPE","1","937537747"<endrec>
"","FX_BUSINESS_TYPE","4","937539740"<endrec>
"","FX_BUSINESS_TYPE","4","937539745"<endrec>
"","FX_BUSINESS_TYPE","4","937539810"<endrec>
"","FX_BUSINESS_TYPE","4","937539821"<endrec>
"","FX_BUSINESS_TYPE","4","937539824"<endrec>
"","FX_BUSINESS_TYPE","4","937539827"<endrec>
"","FX_BUSINESS_TYPE","4","937548861"<endrec>
"","FX_BUSINESS_TYPE","4","937552732"<endrec>
"","FX_BUSINESS_TYPE","1","937567741"<endrec>
"","FX_BUSINESS_TYPE","1","937567742"<endrec>
"","FX_BUSINESS_TYPE","1","937567744"<endrec>
"","FX_BUSINESS_TYPE","1","937567746"<endrec>
"","Funding_Source","3","937197679"<endrec>
"","Funding_Source","3","937197681"<endrec>
"","Funding_Source","3","937197685"<endrec>
"","Funding_Source","3","937197688"<endrec>
"","Funding_Source","3","937197689"<endrec>
"","Funding_Source","3","937197697"<endrec>
"","Funding_Source","3","937197699"<endrec>
"","Funding_Source","3","937197706"<endrec>
"","Funding_Source","3","937197708"<endrec>
"","Funding_Source","3","937197712"<endrec>
"","Funding_Source","3","937197716"<endrec>
"","Funding_Source","3","937197718"<endrec>
"","Funding_Source","3","937197726"<endrec>
"","Funding_Source","1","937197729"<endrec>
"","Funding_Source","3","937197734"<endrec>
"","Funding_Source","3","937197743"<endrec>
"","Funding_Source","3","937197750"<endrec>
"","Funding_Source","2","937197762"<endrec>
"","Funding_Source","3","937197770"<endrec>
"","Funding_Source","3","937197791"<endrec>
"","Funding_Source","3","937197793"<endrec>
"","Funding_Source","3","937197814"<endrec>
"","Funding_Source","3","937197822"<endrec>
"","Funding_Source","3","937197825"<endrec>
"","Funding_Source","3","937197832"<endrec>
"","Funding_Source","3","937197835"<endrec>
"","Funding_Source","2","937197863"<endrec>
"","Funding_Source","3","937197864"<endrec>
"","Funding_Source","3","937197865"<endrec>
"","Funding_Source","3","937205531"<endrec>
"","Funding_Source","1","937205709"<endrec>
"","Funding_Source","1","937255706"<endrec>
"","Funding_Source","3","937338883"<endrec>
"","Funding_Source","1","937356933"<endrec>
"","Funding_Source","2","937428218"<endrec>
"","Funding_Source","3","937459368"<endrec>
"","Funding_Source","3","937459393"<endrec>
"","Funding_Source","1","937467751"<endrec>
"","Funding_Source","1","937467754"<endrec>
"","Funding_Source","1","937467757"<endrec>
"","Funding_Source","1","937467764"<endrec>
"","IMT_Transaction","1","30071494"<endrec>
"","IMT_Transaction","0","30097662"<endrec>
"","IMT_Transaction","0","30149169"<endrec>
"","IMT_Transaction","0","937156165"<endrec>
"","IMT_Transaction","1","937156166"<endrec>
"","IMT_Transaction","0","937156167"<endrec>
"","IMT_Transaction","3","937156174"<endrec>
"","IMT_Transaction","3","937157185"<endrec>
"","IMT_Transaction","0","937161205"<endrec>
"","IMT_Transaction","3","937161209"<endrec>
"","IMT_Transaction","3","937161210"<endrec>
"","IMT_Transaction","0","937163242"<endrec>
"","IMT_Transaction","0","937166436"<endrec>
"","IMT_Transaction","3","937166466"<endrec>
"","IMT_Transaction","3","937167359"<endrec>
"","IMT_Transaction","0","937167360"<endrec>
"","IMT_Transaction","0","937167361"<endrec>
"","IMT_Transaction","0","937167381"<endrec>
"","IMT_Transaction","0","937167388"<endrec>
"","IMT_Transaction","0","937167398"<endrec>
"","IMT_Transaction","0","937167399"<endrec>
"","IMT_Transaction","0","937167400"<endrec>
"","IMT_Transaction","0","937168306"<endrec>
"","IMT_Transaction","0","937168307"<endrec>
"","IMT_Transaction","3","937168315"<endrec>
"","IMT_Transaction","3","937168323"<endrec>
"","IMT_Transaction","3","937168326"<endrec>
"","IMT_Transaction","0","937168345"<endrec>
"","IMT_Transaction","0","937168346"<endrec>
"","IMT_Transaction","3","937178526"<endrec>
"","IMT_Transaction","3","937178532"<endrec>
"","IMT_Transaction","3","937178566"<endrec>
"","IMT_Transaction","3","937178635"<endrec>
"","IMT_Transaction","3","937178669"<endrec>
"","IMT_Transaction","3","937178670"<endrec>
"","IMT_Transaction","3","937179407"<endrec>
"","IMT_Transaction","3","937179419"<endrec>
"","IMT_Transaction","3","937179421"<endrec>
"","IMT_Transaction","1","937182476"<endrec>
"","IMT_Transaction","0","937182477"<endrec>
"","IMT_Transaction","1","937182486"<endrec>
"","IMT_Transaction","1","937183456"<endrec>
"","IMT_Transaction","1","937183457"<endrec>
"","IMT_Transaction","3","937183465"<endrec>
"","IMT_Transaction","3","937185533"<endrec>
"","IMT_Transaction","0","937250711"<endrec>
"","IMT_Transaction","0","937254814"<endrec>
"","IMT_Transaction","3","937254819"<endrec>
"","IMT_Transaction","3","937254821"<endrec>
"","IMT_Transaction","0","937254919"<endrec>
"","IMT_Transaction","0","937254928"<endrec>
"","IMT_Transaction","0","937254931"<endrec>
"","IMT_Transaction","0","937254933"<endrec>
"","IMT_Transaction","0","937254944"<endrec>
"","IMT_Transaction","0","937254945"<endrec>
"","IMT_Transaction","1","937262777"<endrec>
"","IMT_Transaction","1","937262778"<endrec>
"","IMT_Transaction","0","937262868"<endrec>
"","IMT_Transaction","2","937268798"<endrec>
"","IMT_Transaction","2","937351934"<endrec>
"","IMT_Transaction","2","937351939"<endrec>
"","IMT_Transaction","3","937351940"<endrec>
"","IMT_Transaction","0","937374458"<endrec>
"","IMT_Transaction","2","937381602"<endrec>
"","IMT_Transaction","2","937382566"<endrec>
"","IMT_Transaction","3","937386565"<endrec>
"","IMT_Transaction","0","937411139"<endrec>
"","IMT_Transaction","1","937411140"<endrec>
"","IMT_Transaction","2","937413016"<endrec>
"","IMT_Transaction","3","937413017"<endrec>
"","IMT_Transaction","3","937413018"<endrec>
"","IMT_Transaction","2","937413019"<endrec>
"","IMT_Transaction","2","937413020"<endrec>
"","IMT_Transaction","3","937413021"<endrec>
"","IMT_Transaction","2","937415088"<endrec>
"","IMT_Transaction","3","937415089"<endrec>
"","IMT_Transaction","2","937415090"<endrec>
"","IMT_Transaction","2","937415091"<endrec>
"","IMT_Transaction","2","937415137"<endrec>
"","IMT_Transaction","0","937415154"<endrec>
"","IMT_Transaction","0","937415155"<endrec>
"","IMT_Transaction","0","937415160"<endrec>
"","IMT_Transaction","3","937415178"<endrec>
"","IMT_Transaction","0","937415191"<endrec>
"","IMT_Transaction","0","937415224"<endrec>
"","IMT_Transaction","0","937415226"<endrec>
"","IMT_Transaction","0","937415227"<endrec>
"","IMT_Transaction","1","937415231"<endrec>
"","IMT_Transaction","2","937415233"<endrec>
"","IMT_Transaction","2","937415238"<endrec>
"","IMT_Transaction","1","937415240"<endrec>
"","IMT_Transaction","2","937415242"<endrec>
"","IMT_Transaction","2","937415243"<endrec>
"","IMT_Transaction","3","937415247"<endrec>
"","IMT_Transaction","2","937415253"<endrec>
"","IMT_Transaction","0","937416077"<endrec>
"","IMT_Transaction","0","937416084"<endrec>
"","IMT_Transaction","2","937418147"<endrec>
"","IMT_Transaction","3","937418156"<endrec>
"","IMT_Transaction","2","937428295"<endrec>
"","IMT_Transaction","3","937428305"<endrec>
"","IMT_Transaction","0","937430298"<endrec>
"","IMT_Transaction","0","937433235"<endrec>
"","IMT_Transaction","0","937436149"<endrec>
"","IMT_Transaction","2","937443290"<endrec>
"","IMT_Transaction","3","937443292"<endrec>
"","IMT_Transaction","3","937448230"<endrec>
"","IMT_Transaction","2","937448231"<endrec>
"","IMT_Transaction","3","937448257"<endrec>
"","IMT_Transaction","2","937449226"<endrec>
"","IMT_Transaction","0","937450290"<endrec>
"","IMT_Transaction","1","937450292"<endrec>
"","IMT_Transaction","2","937450320"<endrec>
"","IMT_Transaction","3","937450321"<endrec>
"","IMT_Transaction","0","937455394"<endrec>
"","IMT_Transaction","1","937455398"<endrec>
"","IMT_Transaction","1","937455401"<endrec>
"","IMT_Transaction","0","937455402"<endrec>
"","IMT_Transaction","0","937459359"<endrec>
"","IMT_Transaction","2","937459384"<endrec>
"","IMT_Transaction","3","937459389"<endrec>
"","IMT_Transaction","0","937462333"<endrec>
"","IMT_Transaction","0","937462335"<endrec>
"","IMT_Transaction","0","937462336"<endrec>
"","IMT_Transaction","2","937462480"<endrec>
"","IMT_Transaction","2","937462490"<endrec>
"","IMT_Transaction","2","937464336"<endrec>
"","IMT_Transaction","2","937464337"<endrec>
"","IMT_Transaction","2","937464338"<endrec>
"","IMT_Transaction","2","937464340"<endrec>
"","IMT_Transaction","2","937464378"<endrec>
"","IMT_Transaction","2","937464382"<endrec>
"","IMT_Transaction","2","937464384"<endrec>
"","IMT_Transaction","2","937464386"<endrec>
"","IMT_Transaction","2","937464387"<endrec>
"","IMT_Transaction","2","937464389"<endrec>
"","IMT_Transaction","2","937464392"<endrec>
"","IMT_Transaction","3","937464424"<endrec>
"","IMT_Transaction","3","937464425"<endrec>
"","IMT_Transaction","3","937464426"<endrec>
"","IMT_Transaction","3","937465451"<endrec>
"","IMT_Transaction","2","937465472"<endrec>
"","IMT_Transaction","2","937465473"<endrec>
"","IMT_Transaction","2","937465521"<endrec>
"","IMT_Transaction","2","937466538"<endrec>
"","IMT_Transaction","2","937467762"<endrec>
"","IMT_Transaction","2","937467765"<endrec>
"","IMT_Transaction","2","937467766"<endrec>
"","IMT_Transaction","2","937467767"<endrec>
"","IMT_Transaction","3","937468582"<endrec>
"","IMT_Transaction","3","937468673"<endrec>
"","IMT_Transaction","1","937468678"<endrec>
"","IMT_Transaction","0","937468679"<endrec>
"","IMT_Transaction","1","937468681"<endrec>
"","IMT_Transaction","1","937468682"<endrec>
"","IMT_Transaction","1","937468685"<endrec>
"","IMT_Transaction","0","937468687"<endrec>
"","IMT_Transaction","0","937469541"<endrec>
"","IMT_Transaction","3","937469548"<endrec>
"","IMT_Transaction","0","937469575"<endrec>
"","IMT_Transaction","3","937469627"<endrec>
"","IMT_Transaction","0","937470551"<endrec>
"","IMT_Transaction","0","937470703"<endrec>
"","IMT_Transaction","3","937470767"<endrec>
"","IMT_Transaction","3","937470769"<endrec>
"","IMT_Transaction","3","937471579"<endrec>
"","IMT_Transaction","3","937472539"<endrec>
"","IMT_Transaction","3","937472540"<endrec>
"","IMT_Transaction","0","937474559"<endrec>
"","IMT_Transaction","2","937474580"<endrec>
"","IMT_Transaction","2","937474581"<endrec>
"","IMT_Transaction","2","937474582"<endrec>
"","IMT_Transaction","0","937475641"<endrec>
"","IMT_Transaction","0","937475646"<endrec>
"","IMT_Transaction","0","937475649"<endrec>
"","IMT_Transaction","0","937476542"<endrec>
"","IMT_Transaction","0","937476543"<endrec>
"","IMT_Transaction","0","937476544"<endrec>
"","IMT_Transaction","0","937477570"<endrec>
"","IMT_Transaction","2","937487652"<endrec>
"","IMT_Transaction","3","937492585"<endrec>
"","IMT_Transaction","3","937510192"<endrec>
"","IMT_Transaction","3","937510258"<endrec>
"","IMT_Transaction","3","937510275"<endrec>
"","IMT_Transaction","2","937516742"<endrec>
"","IMT_Transaction","0","937532920"<endrec>
"","IMT_Transaction","3","937537802"<endrec>
"","IMT_Transaction","1","937537803"<endrec>
"","IMT_Transaction","0","937537804"<endrec>
"","IMT_Transaction","2","937539841"<endrec>
"","IMT_Transaction","2","937539851"<endrec>
"","IMT_Transaction","2","937539854"<endrec>
"","IMT_Transaction","2","937539856"<endrec>
"","IMT_Transaction","3","937539926"<endrec>
"","IMT_Transaction","3","937539928"<endrec>
"","IMT_Transaction","3","937539930"<endrec>
"","IMT_Transaction","3","937539942"<endrec>
"","IMT_Transaction","3","937539958"<endrec>
"","IMT_Transaction","0","937544728"<endrec>
"","IMT_Transaction","0","937544729"<endrec>
"","IMT_Transaction","0","937544732"<endrec>
"","IMT_Transaction","0","937544755"<endrec>
"","IMT_Transaction","0","937544759"<endrec>
"","IMT_Transaction","0","937544774"<endrec>
"","IMT_Transaction","0","937544779"<endrec>
"","IMT_Transaction","0","937555729"<endrec>
"","IMT_Transaction","0","937556727"<endrec>
"","IMT_Transaction","3","937558727"<endrec>
"","IMT_Transaction","3","937565740"<endrec>
"","IMT_Transaction","3","937565741"<endrec>
"","IMT_Transaction","3","937566732"<endrec>
"","IMT_Transaction","3","937566736"<endrec>
"","IMT_Transaction","2","937570745"<endrec>
"","IMT_Transaction","2","937570746"<endrec>
"","IMT_Transaction","2","937585833"<endrec>
"","IMT_Transaction","3","937585834"<endrec>
"","IMT_Transaction","3","937585835"<endrec>
"","IMT_Transaction","2","937585836"<endrec>
"","IMT_Transaction","3","937589809"<endrec>
"","IMT_Transaction","2","937589810"<endrec>
"","IMT_Transaction","0","937646780"<endrec>
"","IMT_Transaction","3","937664851"<endrec>
"","IMT_Transaction","1","937664853"<endrec>
"","IMT_Transaction","3","937664854"<endrec>
"","IMT_Transaction","1","937664901"<endrec>
"","IMT_Transaction","1","937664902"<endrec>
"","IMT_Transaction","1","937664907"<endrec>
"","IMT_Transaction","1","937664909"<endrec>
"","IMT_Transaction","1","937664910"<endrec>
"","IMT_Transaction","1","937664911"<endrec>
"","IMT_Transaction","1","937664912"<endrec>
"","IMT_Transaction","1","937664913"<endrec>
"","IMT_Transaction","0","937665073"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120091"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120092"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120093"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120094"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120095"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120096"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120097"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120098"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120099"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30120100"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30127084"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","30129087"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","937197554"<endrec>
"","Org_Revenue_Settlement_Reason","Yes","937197555"<endrec>
