ACCUMULATOR_UNIQUE_ID,FILTER_TYPE,REASON_TYPE,TXN_AXN_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"937483576","11","10002904","22598"<endrec>
"937483576","21","-1","-1"<endrec>
"937483583","11","10002904","22598"<endrec>
"937483583","21","10002904","22598"<endrec>
"937485585","11","10000339","20003"<endrec>
"937485585","21","-1","-1"<endrec>
"937486587","11","10000339","20003"<endrec>
"937486587","21","0","0"<endrec>
"937486634","11","-1","-1"<endrec>
"937486634","21","-1","20022"<endrec>
"937486641","11","-1","-1"<endrec>
"937486641","21","-1","20022"<endrec>
"937486656","11","10000339","20003"<endrec>
"937486656","21","-1","-1"<endrec>
"937486658","11","-1","-1"<endrec>
"937486658","21","-1","-1"<endrec>
"937486679","11","-1","-1"<endrec>
"937486679","21","-1","-1"<endrec>
"937486680","11","-1","-1"<endrec>
"937486680","21","-1","-1"<endrec>
"937486682","11","-1","-1"<endrec>
"937486682","21","-1","-1"<endrec>
"937486685","11","-1","-1"<endrec>
"937486685","21","-1","-1"<endrec>
"937486686","11","-1","-1"<endrec>
"937486686","21","-1","-1"<endrec>
"937494585","11","-1","-1"<endrec>
"937494585","21","10000110","20020"<endrec>
"937498803","11","-1","-1"<endrec>
"937498803","21","10000110","20020"<endrec>
"937498803","21","10000119","20020"<endrec>
"937498804","11","-1","-1"<endrec>
"937498804","21","10000110","20020"<endrec>
"937498804","21","10000119","20020"<endrec>
"937509964","11","-1","-1"<endrec>
"937509964","21","10000110","20020"<endrec>
"937509968","11","10000110","20020"<endrec>
"937509968","21","-1","-1"<endrec>
"937510020","11","10000054","20006"<endrec>
"937510020","21","-1","-1"<endrec>
"937510047","11","10000110","20020"<endrec>
"937510047","11","10000119","20020"<endrec>
"937510047","21","10000110","20020"<endrec>
"937510063","11","10000110","20020"<endrec>
"937510063","11","10000119","20020"<endrec>
"937510063","21","-1","-1"<endrec>
"937510110","11","10000025","20022"<endrec>
"937510110","21","-1","-1"<endrec>
"937510113","11","10000018","20004"<endrec>
"937510113","11","10000020","20022"<endrec>
"937510113","11","10000022","20022"<endrec>
"937510113","11","10000025","20022"<endrec>
"937510113","11","10000151","20004"<endrec>
"937510113","11","10000154","20004"<endrec>
"937510113","21","-1","-1"<endrec>
"937510172","11","10002838","22199"<endrec>
"937510172","21","10002838","22199"<endrec>
"937510182","11","10002619","21499"<endrec>
