CHARGE_PROFILE_UNIQUE_ID,LOAD_DATA_TS,PRODUCT_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"937396977","","2"<endrec>
"937398933","","2"<endrec>
"937398934","","2"<endrec>
"937402947","","2"<endrec>
"937405000","","10000228"<endrec>
"937409008","","2"<endrec>
"937409009","","2"<endrec>
"937411017","","2"<endrec>
"937411018","","2"<endrec>
"937411019","","2"<endrec>
"937411020","","2"<endrec>
"937411022","","2"<endrec>
"937411023","","2"<endrec>
"937411024","","2"<endrec>
"937411029","","2"<endrec>
"937411088","","2"<endrec>
"937411096","","2"<endrec>
"937411099","","2"<endrec>
"937411100","","2"<endrec>
"937411109","","2"<endrec>
"937411120","","2"<endrec>
"937411132","","2"<endrec>
"937411134","","2"<endrec>
"937411161","","2"<endrec>
"937411207","","2"<endrec>
"937411208","","2"<endrec>
"937411214","","2"<endrec>
"937411216","","2"<endrec>
"937411217","","2"<endrec>
"937412017","","2"<endrec>
"937412018","","2"<endrec>
"937412019","","2"<endrec>
"937412023","","2"<endrec>
"937412027","","2"<endrec>
"937413028","","2"<endrec>
"937413030","","2"<endrec>
"937413033","","2"<endrec>
"937413034","","2"<endrec>
"937413037","","2"<endrec>
"937413038","","2"<endrec>
"937413039","","2"<endrec>
"937413040","","2"<endrec>
"937413044","","2"<endrec>
"937413045","","2"<endrec>
"937413050","","2"<endrec>
"937413051","","2"<endrec>
"937413052","","2"<endrec>
"937413059","","2"<endrec>
"937413064","","2"<endrec>
"937413065","","2"<endrec>
"937414068","","2"<endrec>
"937414070","","2"<endrec>
"937414073","","2"<endrec>
"937414074","","2"<endrec>
"937414075","","2"<endrec>
"937414077","","2"<endrec>
"937414079","","2"<endrec>
"937414080","","2"<endrec>
"937414081","","2"<endrec>
"937414085","","2"<endrec>
"937414094","","10"<endrec>
"937414095","","10"<endrec>
"937414117","","2"<endrec>
"937414118","","2"<endrec>
"937414124","","2"<endrec>
"937414135","","2"<endrec>
"937414140","","2"<endrec>
"937415076","","2"<endrec>
"937415107","","2"<endrec>
"937415108","","2"<endrec>
"937415112","","2"<endrec>
"937415116","","2"<endrec>
"937415118","","2"<endrec>
"937415124","","2"<endrec>
"937415125","","2"<endrec>
"937415126","","2"<endrec>
"937417143","","2"<endrec>
"937417145","","2"<endrec>
"937417146","","2"<endrec>
"937417147","","2"<endrec>
"937418127","","2"<endrec>
"937418152","","2"<endrec>
"937418161","","2"<endrec>
"937418162","","2"<endrec>
"937418163","","2"<endrec>
"937419122","","2"<endrec>
"937419128","","2"<endrec>
"937425143","","2"<endrec>
"937427199","","2"<endrec>
"937428237","","2"<endrec>
"937428238","","2"<endrec>
"937428285","","2"<endrec>
"937428287","","2"<endrec>
"937428289","","2"<endrec>
"937428291","","2"<endrec>
"937428298","","2"<endrec>
