KYC_FIELD_ID,KYC_GROUP_ID,KYC_GROUP_TYPE_VALUE,LOAD_DATA_TS,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"202","200","01","2016-04-12 21:45:22.980000","937195562"<endrec>
"202","200","01","2016-04-23 08:51:59.382000","937197636"<endrec>
"202","200","01","2016-04-26 07:49:51.786000","937197676"<endrec>
"202","200","01","2017-04-12 18:49:09.017000","937318873"<endrec>
"202","200","01","2018-04-26 11:46:48.143000","937483547"<endrec>
"202","200","01","2018-04-26 12:42:42.968000","937483560"<endrec>
"202","200","01","2018-04-26 12:46:35.881000","937483561"<endrec>
"302","300","05","2016-04-20 23:05:29.415000","937197589"<endrec>
"302","300","02","2017-03-16 07:05:07.032000","937288819"<endrec>
"302","300","02","2017-09-21 11:51:58.302000","937411215"<endrec>
"302","300","02","2018-03-19 08:50:01.159000","937469636"<endrec>
"302","300","02","2018-03-20 02:47:53.052000","937469653"<endrec>
"302","300","03","2018-04-23 10:49:31.397000","937481543"<endrec>
"303","300","","2018-04-23 10:51:26.445000","937481544"<endrec>
"303","300","","2018-04-23 10:59:54.216000","937481545"<endrec>
"304","300","","2018-10-25 11:32:31.279000","937539837"<endrec>
"306","300","","2018-04-23 10:13:34.374000","937481539"<endrec>
"306","300","","2018-04-23 10:27:50.878000","937481541"<endrec>
"306","300","","2018-04-25 08:06:31.729000","937481614"<endrec>
"306","300","","2018-04-25 08:53:01.532000","937481624"<endrec>
"308","300","","2018-04-23 10:32:07.171000","937481542"<endrec>
