APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,EFFECTIVEMODE,EXPIREDATE,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NAME,PROFILE_ID,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"2015-04-13 23:47:27.083000","203000000000010240","2015-04-13 22:39:49.037000","MFI Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:47:27.148000","","MFI Tariff 1","20124","30","30177447"<endrec>
"2015-04-13 23:46:49.553000","203000000000010278","2015-04-13 22:44:49.606000","Distribution Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:46:49.620000","","Distribution Tariff 1","20125","30","30177448"<endrec>
"2015-04-13 23:47:38.792000","203000000000010278","2015-04-13 22:48:37.248000","Paybill Percentage tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:47:38.859000","","Paybill Percentage tariff 1","20105","30","30177449"<endrec>
"2015-04-13 23:47:03.069000","203000000000010240","2015-04-13 22:54:03.733000","Fuel Card Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010386","2015-04-13 23:47:03.134000","","Fuel Card Tariff 1","20100","30","30177450"<endrec>
"2015-05-02 00:18:06.796000","203000000200002131","2015-05-02 00:14:04.904000","Default Customer Charge Profile","1","2015-08-03 04:10:04.855000","1000","203000000000011204","2015-08-03 04:10:04.857000","","Default Customer Charge Profile","20002","50","937133906"<endrec>
"2015-07-30 21:31:05.481000","203000000000010805","2015-07-30 21:19:36.116000","TZ Default Customer Charges","1","2015-07-30 22:28:34.097000","1000","203000000000010805","2015-07-30 22:28:34.103000","","TZ Default Customer Charges","20132","50","937144909"<endrec>
"2015-07-30 22:28:34.097000","203000000000010805","2015-07-30 22:19:51.294000","TZ Default Customer Charges","1","2015-07-31 19:05:26.465000","1000","203000000000010805","2015-07-31 19:05:26.467000","","TZ Default Customer Charges","20132","50","937144917"<endrec>
"2015-07-31 19:05:26.465000","203000000000010805","2015-07-31 19:05:07.157000","TZ Default Customer Charges","1","2015-08-03 10:11:07.781000","1000","203000000000010805","2015-08-03 10:11:07.802000","","TZ Default Customer Charges","20132","50","937145018"<endrec>
"2015-08-03 04:10:04.855000","203000000000011204","2015-08-03 04:09:44.126000","Default Customer Charge Profile","1","2015-08-03 10:08:42.422000","1000","203000000000010805","2015-08-03 10:08:42.424000","","Default Customer Charge Profile","20002","50","937146027"<endrec>
"2015-08-03 10:08:42.422000","203000000000010805","2015-08-03 10:07:56.171000","Default Customer Charge Profile","1","2015-10-09 11:51:58.911000","1000","203000000000010806","2015-10-09 11:51:58.914000","","Default Customer Charge Profile","20002","50","937146029"<endrec>
"2015-08-03 10:11:07.781000","203000000000010805","2015-08-03 10:10:44.706000","TZ Default Customer Charges","1","2015-08-03 22:04:26.443000","1000","203000000000010805","2015-08-03 22:04:26.446000","","TZ Default Customer Charges","20132","50","937146030"<endrec>
