CATEGORY_CODE,CHANNEL,CREATE_OPER_ID,CREATE_OPER_TIME,ENGINE_TYPE,ID,LAST_OPER_ID,LAST_OPER_TIME,PROCESS_NAME,SERVICE_CODE,TIME_LIMIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"","1003","203000000000013818","2017-03-14 12:48:34.265000","","25905","203000000000027802","2017-09-25 10:36:10.369000","","Send Money","120"<endrec>
"","1010","","","","2613","","","Query OD by API","Query OD Information","120"<endrec>
"","1010","","","","2615","","","Customer Buy Goods With OD API","CustomerPayMerchant","120"<endrec>
"","1002","","","","2639","","","Send Money With Prevalidation STK","Send Money","120"<endrec>
"","1005","203000000000020211","2017-04-07 17:00:59.295000","","26401","203000000000027802","2017-09-25 10:38:12.411000","","Send Money","120"<endrec>
"","1003","203000000000018317","2017-04-27 11:04:55.515000","","26701","203000000000027802","2017-09-25 11:00:27.429000","","send money_ussd","120"<endrec>
"","1010","","","","30301","203000000000034103","2018-07-27 08:59:57.042000","Customer Send Money With OD API","Send Money","120"<endrec>
"","1010","203000000000032902","2018-04-23 09:41:19.039000","","30901","203000000000032902","2018-04-23 09:41:19.039000","","Organization Intra-Account Transfer For Org float to Working Account","120"<endrec>
"","1005","203000000000025034","2018-09-06 12:15:58.962000","1.0","32710","203000000000025034","2018-09-06 12:15:58.962000","","Send Money Off-Net","120"<endrec>
"","1005","203000000000025034","2018-09-06 12:18:16.094000","1.0","32713","203000000000025034","2018-09-06 12:18:16.094000","","#RT#Send Money Off-Net","120"<endrec>
"","1005","203000000000036803","2018-11-19 09:47:24.601000","1.0","33101","203000000000036803","2018-11-19 09:53:58.164000","","2001","120"<endrec>
"","1010","203000000000039902","2019-02-15 07:11:20.761000","1.0","33401","203000000000039902","2019-03-05 15:55:15.770000","","Merchant POS Payment","120"<endrec>
"","1010","203000000000025005","2019-04-02 08:31:09.809000","1.0","33516","203000000000025005","2019-04-02 10:28:36.238000","","SalaryPayment","120"<endrec>
