LOAD_DATA_TS,PARAM_CATEGORY_CODE,PARAM_CODE,VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"","-1","CUSTOMER_KYC_FOR_INHERITING_LIMIT_RULE","1003"<endrec>
"","-1","CUSTOMER_MENU_CACHE_TIMEOUT","3600"<endrec>
"","-1","CUSTOMER_SEGMENT_TYPE",""<endrec>
"","-1","CUSTOMER_START_PIN_SERVICE_CODE","10277"<endrec>
"","-1","CUST_TRAN_HIST_MAX_NO","50"<endrec>
"","-1","CUST_TRAN_HIST_PERIOD","7"<endrec>
"","-1","DECIMAL_POINT_SYMBOL_COLLECTION","."<endrec>
"","-1","DEFAULT_CHG_DISTRIBUTION","20001"<endrec>
"","-1","DEFAULT_COUPONS_PROMOTIONS","100"<endrec>
"","-1","DEFAULT_CURRENCY","TZS"<endrec>
"","-1","DEFAULT_FSI_ORGANIZATION","262626"<endrec>
"","-1","DEFAULT_MAXIMUM_TRANSACTION_AMOUNT","1000000000"<endrec>
"","-1","DEFAULT_OPERATOR_REQUIRED","0"<endrec>
"","-1","DEFAULT_TXN_EXPIRY_PERIOD","1357"<endrec>
"","-1","DEFERRED_NOTIFICATION_READING_AMOUNT","10000"<endrec>
"","-1","DEFUALT_ACCOUNT_NAME","DefaultAccount"<endrec>
"","-1","DELIVERY_EFFECTIVE_PERIOD","600"<endrec>
"","-1","DERIVED_TRANSACTION","20023"<endrec>
"","-1","DERIVED_TRANSACTION_ORG_REVENUE",""<endrec>
"","-1","DISPLAY_MODE_OF_TAX_CODE","1"<endrec>
"","-1","DOB_FORMAT_FOR_STK_ACTIVATION","DDMMYYYY"<endrec>
"","-1","EFT_MAX_LINES","5000"<endrec>
"","-1","EFT_NOTIFICATION","101000000000000039"<endrec>
"","-1","ENABLED_DAYS_OF_BANK_ACCUOUNT","0"<endrec>
"","-1","ENABLE_GROUP_MENU","1"<endrec>
"","-1","ENABLE_KYC_UNIQUE_CHECK","0"<endrec>
"","-1","ENABLE_REMINDER_MENU","1"<endrec>
"","-1","END_ERROR_CODE_STATE_TAG_BARRED_TXN","TC75999"<endrec>
"","-1","ENTRIES_EXPIRE","731"<endrec>
"","-1","EVO_EXTRACT_BAK_PATH","/EVO/bak"<endrec>
"","-1","EVO_EXTRACT_PATH","/EVO/working"<endrec>
"","-1","EVO_MAX_DAY","180"<endrec>
"","-1","EVO_SEGMENT",""<endrec>
"","-1","EXCLUDED_REASON_TYPE_4_REACTIVATE_CUSTOMER",""<endrec>
"","-1","EXPIRY_PERIOD_OF_CONFIRM_MEMBERSHIP","20"<endrec>
"","-1","EXPIRY_PERIOD_OF_GROUP_APPROVE","20"<endrec>
"","-1","EXPORT_DUPLICATED_BSE","0"<endrec>
"","-1","EXPORT_PENDING_DUPLICATED_BSE","0"<endrec>
"","-1","EXPORT_TRANSACITON_NOT_LINKED_BSE","1"<endrec>
"","-1","EXTERANL_ACCOUNT_NUMBER_LIMIT","1"<endrec>
"","-1","EXTRACTION_DELAY_FOR_CUTOFF_TIME","30"<endrec>
"","-1","FAILURE_NOTIFICATION_READING_AMOUNT","1000"<endrec>
"","-1","FAILURE_NOTIFICATION_RETRY_TIMES","2"<endrec>
