ALLOW_EMPTY,CHANNEL,COMMAND_SCOPE,DATA_FORMAT,DATA_TYPE,DESCRIPTION,ENCRYPTED,PARAM_INVALID_ERROR_CODE,PARAM_MISSING_ERROR_CODE,PARA_CODE,PARA_ID,PARA_ORDER_ID,PARENT_PARA_ID,REQUIRED,REQUIRED_IF,SINCE_VERSION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_200","90115","1","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_600","90116","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_140","90117","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_160","90118","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_170","90119","2","90113","false","",""<endrec>
"false","SchemaAPI","UpdateOrgOperatorKYC","","List","","false","","","RemoveCertificateRecord","9012","0","8995","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_240","90120","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_260","90121","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_270","90122","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_450","90123","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_111","90124","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_112","90125","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_113","90126","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_114","90127","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_125","90128","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_141","90129","2","90113","false","",""<endrec>
"false","SchemaAPI","UpdateOrgOperatorKYC","","String","","false","","","CertificateNumber","9013","0","9012","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_151","90130","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_152","90131","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_153","90132","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_154","90133","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_155","90134","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_156","90135","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_161","90136","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_211","90137","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_212","90138","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_213","90139","2","90113","false","",""<endrec>
"false","SchemaAPI","UpdateOrgOperatorKYC","","String","","false","","","CertificateTypeValue","9014","0","9012","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_214","90140","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_221","90141","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_225","90142","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_251","90143","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_252","90144","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_253","90145","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_254","90146","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_255","90147","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_256","90148","2","90113","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","vsf_2390_261","90149","2","90113","false","",""<endrec>
"false","SchemaAPI","UpdateOrgOperatorKYC","","String","","false","","","CertificateEffectiveDate","9015","0","9012","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","remittanceResponse","90150","0","-1","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","transactionId","90151","0","90150","true","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","hsTransactionId","90152","1","90150","true","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","transactionSummary","90153","2","90150","true","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","commissionAmount","90154","0","90153","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","currency","90155","1","90154","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","amount","90156","2","90154","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","grace","90157","3","90154","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","validity","90158","4","90154","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","chargedAmount","90159","3","90153","false","",""<endrec>
