LOAD_DATA_TS,PRODUCT_UNIQUE_ID,PROPERTY_CODE,PROPERTY_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","30101764","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","30101765","ORG_IDENTITY_MODEL","1"<endrec>
"","30101765","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30101766","ORG_IDENTITY_MODEL","1"<endrec>
"","30101766","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30103777","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30103777","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30103778","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30103778","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30103807","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30103807","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30104829","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30104829","ORG_IDENTITY_MODEL","1"<endrec>
"","30104829","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30104830","BILL_REF_NUM_RULE",""<endrec>
"","30104830","ORG_IDENTITY_MODEL","1"<endrec>
"","30104830","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30105836","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30105836","ORG_IDENTITY_MODEL","3"<endrec>
"","30105836","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30105837","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30105837","ORG_IDENTITY_MODEL","3"<endrec>
"","30105837","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30105861","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30105861","ORG_IDENTITY_MODEL","3"<endrec>
"","30105861","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30114898","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30114898","BILL_REF_NUM_RULE",""<endrec>
"","30114898","ORG_IDENTITY_MODEL","1"<endrec>
"","30114898","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30116973","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30116973","BILL_REF_NUM_RULE",""<endrec>
"","30116973","ORG_IDENTITY_MODEL","3"<endrec>
"","30116973","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30116974","ORG_IDENTITY_MODEL","0"<endrec>
