DEFAULT_VALUE,LANGUAGE,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"555555","en","ServiceAction.CashUpStatement.CashUpTillNumber"<endrec>
"5000.00","en","ServiceAction.CashUpStatement.DepositAmount"<endrec>
"200000.00","en","ServiceAction.CashUpStatement.FinalAmount"<endrec>
"01/04/2013 10","en","ServiceAction.CashUpStatement.InputBeginTime"<endrec>
"01/04/2013 10","en","ServiceAction.CashUpStatement.InputEndTime"<endrec>
"01/04/2013 10","en","ServiceAction.CashUpStatement.QueryBeginTime"<endrec>
"01/04/2013 10","en","ServiceAction.CashUpStatement.QueryEndTime"<endrec>
"1000.00","en","ServiceAction.CashUpStatement.WithdrawAmount"<endrec>
"55555","en","ServiceAction.ClosedOperatorId"<endrec>
"200.00","en","ServiceAction.Commission"<endrec>
"2197","en","ServiceAction.CreateOrganization.StartPIN"<endrec>
"secret word","en","ServiceAction.Credential"<endrec>
"Password","en","ServiceAction.CredentialType"<endrec>
"AirtimeCommission","en","ServiceAction.Credit.IdentityAccountAlias"<endrec>
"AirtimeCommission","en","ServiceAction.Credit.IdentityAccountTypeName"<endrec>
"7","en","ServiceAction.DaysBeforeExpired"<endrec>
"AirtimeCommission","en","ServiceAction.Debit.IdentityAccountAlias"<endrec>
"50000.00","en","ServiceAction.Debit.IdentityAccountBalance"<endrec>
"AirtimeCommission","en","ServiceAction.Debit.IdentityAccountTypeName"<endrec>
"200","en","ServiceAction.FeeInfo.CreditParty.Fee"<endrec>
"200","en","ServiceAction.FeeInfo.DebitParty.Fee"<endrec>
"","en","ServiceAction.FeeInfo.Fee"<endrec>
"200","en","ServiceAction.FeeInfo.Tax"<endrec>
"VDF","en","ServiceAction.FirstName"<endrec>
"{{ServiceAction.Group.AddRolesName}}","en","ServiceAction.Group.AddRolesName"<endrec>
"{{ServiceAction.Group.OperationMsisdn}}","en","ServiceAction.Group.OperationMsisdn"<endrec>
"{{ServiceAction.Group.OperationRole}}","en","ServiceAction.Group.OperationRole"<endrec>
"{{ServiceAction.Group.OperationpublicName}}","en","ServiceAction.Group.OperationpublicName"<endrec>
"{{ServiceAction.Group.OriInitiatorMsisdn}}","en","ServiceAction.Group.OriInitiatorMsisdn"<endrec>
"{{ServiceAction.Group.OriInitiatorName}}","en","ServiceAction.Group.OriInitiatorName"<endrec>
"{{ServiceAction.Group.OriInitiatorRole}}","en","ServiceAction.Group.OriInitiatorRole"<endrec>
"{{ServiceAction.Group.RemoveRolesName}}","en","ServiceAction.Group.RemoveRolesName"<endrec>
"{{ServiceAction.Group.TransactionCreditName}}","en","ServiceAction.Group.TransactionCreditName"<endrec>
"{{ServiceAction.Group.TransactionOriCreditId}}","en","ServiceAction.Group.TransactionOriCreditId"<endrec>
"{{ServiceAction.Group.VocherTypeName}}","en","ServiceAction.Group.VocherTypeName"<endrec>
"86812530001","en","ServiceAction.Initiator.Identifier"<endrec>
"50000.00","en","ServiceAction.Initiator.IdentityAccountBalance"<endrec>
"11/06/2013","en","ServiceAction.InputBeginDate"<endrec>
