LIMIT_OBJECT_ID,LIMIT_RULE_UNIQUE_ID,OBJECT_ID,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"145196000","937462377","20001","2"<endrec>
"145197000","937462377","20003","2"<endrec>
"145198000","937462377","20039","2"<endrec>
"145208000","937462412","20999","2"<endrec>
"145209000","937462412","20020","2"<endrec>
"146187000","937464394","20020","2"<endrec>
"146188000","937464396","20020","2"<endrec>
"146189000","937464420","20004","2"<endrec>
"146191000","937464422","20022","2"<endrec>
"147187000","937467597","20013","2"<endrec>
"147188000","937467597","21698","2"<endrec>
"147189000","937467597","20999","2"<endrec>
"147190000","937467597","20001","2"<endrec>
"147191000","937467597","20003","2"<endrec>
"147192000","937467597","22800","2"<endrec>
"147202000","937467605","20046","2"<endrec>
"147203000","937467605","20048","2"<endrec>
"147204000","937467605","20051","2"<endrec>
"147205000","937467605","22999","2"<endrec>
"147206000","937467605","20001","2"<endrec>
"147213000","937467615","20798","2"<endrec>
"147214000","937467615","20698","2"<endrec>
"147217000","937467624","20798","2"<endrec>
"147219000","937467714","20020","2"<endrec>
"147231000","937467731","20006","2"<endrec>
"147232000","937467731","20008","2"<endrec>
"147233000","937467731","20003","2"<endrec>
"147239000","937467733","20006","2"<endrec>
"147240000","937467733","20008","2"<endrec>
"147241000","937467733","20003","2"<endrec>
"148193000","937468598","20999","2"<endrec>
"148194000","937468598","20001","2"<endrec>
"148195000","937468598","20020","2"<endrec>
"149187000","937469546","20046","2"<endrec>
"149188000","937469546","20048","2"<endrec>
"149189000","937469546","20051","2"<endrec>
"149190000","937469546","22999","2"<endrec>
"149191000","937469546","20001","2"<endrec>
"149199000","937469547","20046","2"<endrec>
"149200000","937469547","20048","2"<endrec>
"149201000","937469547","20051","2"<endrec>
"149202000","937469547","22999","2"<endrec>
"149203000","937469547","20001","2"<endrec>
"149211000","937469587","20013","2"<endrec>
"149212000","937469587","20001","2"<endrec>
"149213000","937469587","20003","2"<endrec>
"149224000","937469589","20013","2"<endrec>
"149225000","937469589","20001","2"<endrec>
"149226000","937469589","20003","2"<endrec>
"149240000","937469592","20047","2"<endrec>
"149241000","937469592","23001","2"<endrec>
"149242000","937469592","21799","2"<endrec>
"149243000","937469592","21800","2"<endrec>
"149244000","937469592","20001","2"<endrec>
"149249000","937469593","20048","2"<endrec>
"149250000","937469593","23001","2"<endrec>
"149251000","937469593","21799","2"<endrec>
"149252000","937469593","20001","2"<endrec>
"149257000","937469620","23398","2"<endrec>
"149261000","937469635","20046","2"<endrec>
"150187000","937470552","23398","2"<endrec>
"150192000","937470618","22299","2"<endrec>
"150193000","937470618","20008","2"<endrec>
"150194000","937470618","20003","2"<endrec>
"150197000","937470625","20008","2"<endrec>
"150199000","937470730","20006","2"<endrec>
"150200000","937470730","20051","2"<endrec>
"150201000","937470730","21698","2"<endrec>
"150202000","937470730","21502","2"<endrec>
"150203000","937470730","21800","2"<endrec>
"150204000","937470730","21805","2"<endrec>
"150205000","937470730","20999","2"<endrec>
"150206000","937470730","20001","2"<endrec>
"150207000","937470730","20022","2"<endrec>
"150208000","937470730","20003","2"<endrec>
"150209000","937470730","20020","2"<endrec>
"150210000","937470730","20039","2"<endrec>
"151187000","937476560","5730","3"<endrec>
"151189000","937476561","5730","3"<endrec>
"15153000","30071514","20041","2"<endrec>
"15164000","30004035","20001","2"<endrec>
"15165000","30004035","20003","2"<endrec>
"15166000","30004035","20013","2"<endrec>
"15176000","30005046","20001","2"<endrec>
"15177000","30005046","20003","2"<endrec>
"15178000","30005046","20013","2"<endrec>
"15192000","30004112","20001","2"<endrec>
"15193000","30004112","20003","2"<endrec>
"15194000","30004112","20013","2"<endrec>
"152187000","937483550","20020","2"<endrec>
"152188000","937483570","20020","2"<endrec>
"153187000","937487611","20020","2"<endrec>
