MAPPING_CATEGORY,MAPPING_DIRECTION,MAPPING_ID,MODIFY_FLAG,MSG_TYPE,SOURCE_TYPE,SOURCE_VALUE,TARGET_TYPE,TARGET_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"04","02","19072","1","","01","TP40097","01","E2"<endrec>
"04","02","19073","1","","01","TP40098","01","E1"<endrec>
"04","02","19074","1","","01","TP40099","01","E1"<endrec>
"04","02","19075","1","","01","TP40100","01","E1"<endrec>
"04","02","19076","1","","01","TP40101","01","E1"<endrec>
"04","02","19077","1","","01","TP40102","01","E1"<endrec>
"04","02","19078","1","","01","TP40103","01","E1"<endrec>
"04","02","19079","1","","01","TP40104","01","E1"<endrec>
"04","02","19080","1","","01","TP40105","01","E1"<endrec>
"04","02","19081","1","","01","TP40106","01","E1"<endrec>
"04","02","19082","1","","01","TP40107","01","E1"<endrec>
"04","02","19083","1","","01","TP40108","01","E1"<endrec>
"04","02","19084","1","","01","TP40109","01","E1"<endrec>
"04","02","19085","1","","01","TP40110","01","E1"<endrec>
"04","02","19086","1","","01","TP40111","01","E1"<endrec>
"04","02","19087","1","","01","TP40112","01","E1"<endrec>
"04","02","19088","1","","01","TP40113","01","E1"<endrec>
"04","02","19089","1","","01","TP40114","01","E1"<endrec>
"04","02","19090","1","","01","TP40115","01","E1"<endrec>
"04","02","19091","1","","01","TP40116","01","E1"<endrec>
"04","02","19092","1","","01","TP40117","01","E1"<endrec>
"04","02","19093","1","","01","TP40118","01","E1"<endrec>
"04","02","19094","1","","01","TP40147","01","E2"<endrec>
"04","02","19095","1","","01","TP40148","01","E2"<endrec>
"04","02","19096","1","","01","TP40149","01","E2"<endrec>
"04","02","19097","1","","01","TP40150","01","E2"<endrec>
"04","02","19098","1","","01","TP40151","01","E2"<endrec>
"04","02","19099","1","","01","IC11221","01","E1"<endrec>
"04","02","19100","1","","01","TP40221","01","E1"<endrec>
"04","02","19101","1","","01","TP40226","01","E0"<endrec>
"04","02","19102","1","","01","TP40227","01","E1"<endrec>
"04","02","19103","1","","01","TP40257","01","E1"<endrec>
"04","02","19104","1","","01","TP40258","01","E1"<endrec>
"04","02","19105","1","","01","TP40259","01","E1"<endrec>
"04","02","19106","1","","01","TP40266","01","E4"<endrec>
"04","02","19107","1","","01","TP40280","01","E2"<endrec>
"04","02","19108","1","","01","TP40281","01","E2"<endrec>
"04","02","19109","1","","01","TP40282","01","E2"<endrec>
"04","02","19110","1","","01","TP40283","01","E2"<endrec>
"04","02","19111","1","","01","TP40284","01","E2"<endrec>
"04","02","19112","1","","01","TP40285","01","E2"<endrec>
"04","02","19113","1","","01","TP40286","01","E2"<endrec>
"04","02","19114","1","","01","TP40287","01","E2"<endrec>
"04","02","19115","1","","01","TP40288","01","E1"<endrec>
"04","02","19116","1","","01","GV50000","01","E1"<endrec>
"04","02","19117","1","","01","GV50001","01","E1"<endrec>
"04","02","19118","1","","01","GV50002","01","E1"<endrec>
"04","02","19119","1","","01","GV50003","01","E1"<endrec>
