AUTO_WF_SWITCH,CREATE_OPER_ID,CREATE_OPER_TIME,END_TIME,INTERVAL_TYPE,INTERVAL_VALUE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,MANUAL_WF_SWITCH,NOTIFICATION_ORG_ROLE,NOTIFICATION_SP_ROLE,NOTIFICATION_TYPE,PERIODIC_SWITCH,SETTLEMENT_PROFILE_DESC,SETTLEMENT_PROFILE_ID,SETTLEMENT_PROFILE_NAME,SP_NOTIFICATION_TYPE,START_TIME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"0","203000000200002131","2015-05-01 23:44:19.254000","","1","1","203000000200002131","2015-05-01 23:47:30.462000","","0","500000000000010079","0","107000000000028033","1","MNO Settlement Profile","121","MNO Settlement Profile","0","","30","937133894"<endrec>
"0","203000000200002131","2015-05-01 23:44:32.118000","","3","1","203000000000010809","2015-08-12 15:38:49.482000","","0","500000000000010052","0","107000000000028033","1","Monthly Settlement - Merchant","109","Monthly Settlement - Merchant","0","","50","937133895"<endrec>
"0","203000000200002131","2015-05-01 23:44:45.200000","","3","1","203000000200002131","2015-05-01 23:48:12.905000","","0","500000000000010052","0","107000000000028033","1","Monthly Settlement - Pay Bill","103","Monthly Settlement - Pay Bill","0","","30","937133896"<endrec>
"0","203000000200002131","2015-05-01 23:44:58.926000","","3","1","203000000200002131","2015-05-01 23:47:49.107000","","0","500000000000010052","0","107000000000028033","1","Monthly Settlement - Pay BillMerchant","115","Monthly Settlement - Pay Bill And Merchant","0","","30","937133897"<endrec>
"0","203000000200002131","2015-05-01 23:45:10.733000","","","","203000000200002131","2015-05-01 23:48:20.509000","","0","500000000000010052","0","107000000000028033","0","Utility Account Maximun Balance - Pay Bill","106","Utility Account Maximun Balance - Pay Bill","0","","30","937133898"<endrec>
"0","203000000200002131","2015-05-01 23:45:43.520000","","","","203000000200002131","2015-05-01 23:48:27.134000","","0","500000000000010052","0","107000000000028033","0","Utility And Merchant Account Maximun Balance - Pay Bill And Merchant","123","Utility And Merchant Account Maximun Balance - Pay Bill And Merchant","0","","30","937133899"<endrec>
"0","203000000200002131","2015-05-01 23:45:55.688000","","","","203000000200002131","2015-05-01 23:48:56.073000","","0","500000000000010052","0","107000000000028033","0","Utility And Merchant Trigger Balance - Pay Bill And Merchant","122","Utility And Merchant Trigger Balance - Pay Bill And Merchant","0","","30","937133900"<endrec>
"0","203000000200002131","2015-05-01 23:46:09.676000","","","","203000000200002131","2015-05-01 23:49:15.507000","","0","500000000000010052","0","107000000000028033","0","Utility Trigger Balance - Pay Bill","104","Utility Trigger Balance - Pay Bill","0","","30","937133901"<endrec>
"0","203000000200002131","2015-05-01 23:46:22.506000","","2","1","203000000200002131","2015-05-01 23:49:32.937000","","0","500000000000010052","0","107000000000028033","1","Weekly Settlement - Merchant","112","Weekly Settlement - Merchant","0","","30","937133902"<endrec>
"0","203000000200002131","2015-05-01 23:46:35.599000","","2","1","203000000200002131","2015-05-01 23:49:52.684000","","0","500000000000010052","0","107000000000028033","1","Weekly Settlement - Pay Bill","102","Weekly Settlement - Pay Bill","0","","30","937133903"<endrec>
"0","203000000200002131","2015-05-01 23:46:50.846000","","2","1","203000000200002131","2015-05-01 23:47:06.554000","","0","500000000000010052","0","107000000000028033","1","Weekly Settlement - Pay BillMerchant","114","Weekly Settlement - Pay Bill And Merchant","0","","30","937133904"<endrec>
"0","203000000000010809","2015-08-12 15:36:29.924000","","3","1","203000000000010809","2015-08-12 15:40:04.243000","","1","500000000000010382","0","107000000000028033","1","Monthly Settlement - Merchant","109","Monthly Settlement - Merchant","0","","50","937150114"<endrec>
"0","203000000000010809","2015-08-12 15:39:55.395000","","3","1","203000000000010809","2015-08-12 15:40:04.253000","","0","500000000000010382","0","107000000000028033","1","Monthly Settlement - Merchant","109","Monthly Settlement - Merchant","0","","30","937150115"<endrec>
"0","203000000000013022","2016-04-26 03:40:52.261000","","","","203000000000013022","2016-04-26 03:43:30.265000","","0","500000000000010102","0","107000000000028033","0","Charges Paid Trigger Balance - Merchant","107","Charges Paid Trigger Balance - Merchant","0","","30","937197665"<endrec>
