IS_DEFAULT_REASON,LOAD_DATA_TS,REASON_INDEX,SERVICE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"false","","10000057","937390574"<endrec>
"false","","10000057","937391579"<endrec>
"true","","10000057","937392719"<endrec>
"false","","10000057","937392812"<endrec>
"true","","10000057","937392814"<endrec>
"true","","10000057","937462484"<endrec>
"false","","10000057","937481641"<endrec>
"true","","10000057","937484589"<endrec>
"true","2018-11-06 11:18:48.000000","10000057","937540727"<endrec>
"false","","10000058","20316"<endrec>
"false","","10000058","30004080"<endrec>
"false","","10000058","30100755"<endrec>
"false","2019-10-11 16:16:30.000000","10000058","937665066"<endrec>
"false","","10000059","20316"<endrec>
"false","","10000059","30004080"<endrec>
"false","","10000059","30100755"<endrec>
"false","","10000059","937523726"<endrec>
"false","2019-10-11 16:18:17.000000","10000059","937665067"<endrec>
"false","","10000061","20345"<endrec>
"false","","10000071","20350"<endrec>
"false","","10000071","30013136"<endrec>
"false","","10000071","937311874"<endrec>
"false","","10000071","937378462"<endrec>
"false","","10000071","937470678"<endrec>
"false","","10000071","937487615"<endrec>
"false","","10000074","20329"<endrec>
"false","","10000074","937163206"<endrec>
"false","","10000075","20328"<endrec>
"false","","10000075","937166440"<endrec>
"false","","10000075","937392663"<endrec>
"false","","10000075","937470868"<endrec>
"false","","10000075","937470869"<endrec>
"false","","10000075","937472544"<endrec>
"false","","10000075","937472548"<endrec>
"false","","10000075","937487665"<endrec>
"false","","10000075","937487666"<endrec>
"false","","10000075","937487668"<endrec>
"false","","10000075","937497651"<endrec>
"false","","10000075","937497657"<endrec>
"false","","10000075","937510007"<endrec>
"false","2019-03-12 13:21:35.000000","10000075","937585794"<endrec>
"false","2019-05-10 13:32:10.000000","10000075","937605770"<endrec>
"false","2019-05-17 10:18:29.000000","10000075","937607760"<endrec>
"false","","10000076","20328"<endrec>
"false","","10000076","937166440"<endrec>
"false","","10000076","937392663"<endrec>
"false","","10000076","937470868"<endrec>
"false","","10000076","937470869"<endrec>
"false","","10000076","937470872"<endrec>
"false","","10000076","937471558"<endrec>
"false","","10000076","937472544"<endrec>
