ALIAS,BUSINESS_SCOPE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,REASON_SELECTION_MODE,RECEIVER_TYPES,SERVICE_INDEX,SERVICE_NAME,STATUS,TXN_INDEX,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"AgencyRedistributionOfFloatFunds","2","203000000000010002","2014-04-02 12:21:41.950000","H/O Float Management","203000000000010289","2015-04-26 21:51:28.227000","","0","","10016","H/O Float Management","50","20003","30011082"<endrec>
"Organization Deposit To M-PESA","2","203000000000010002","2014-04-03 18:30:32.446000","Organization Deposit To M-PESA","203000000000010063","2014-10-10 17:49:34.097000","","1","","10042","Organization Deposit To M-PESA","30","20015","30013136"<endrec>
"Give Cash","2","203000000000010002","2014-04-03 18:35:30.235000","Give Cash","203000000000011204","2015-11-28 08:15:52.215000","","0","","10064","Give Cash","50","20008","30013137"<endrec>
"Commission Clawback","2","203000000000010002","2014-04-03 18:36:38.991000","Commission Clawback","203000000000015423","2018-10-02 14:56:08.658000","","0","","10065","Commission Clawback","50","20064","30013138"<endrec>
"Activate Till","3","203000000000010002","2014-04-07 14:04:36.730000","Activate Till","203000000000010063","2014-08-01 17:27:53.046000","","0","","10066","Activate Till","50","27","30013209"<endrec>
"Customer Withdrawal","2","203000000000010002","2014-04-08 17:35:23.199000","Customer Withdrawal","203000000000010063","2014-07-04 09:51:29.385000","","0","","10011","Customer Withdrawal","50","20008","30015312"<endrec>
"Customer Account Management - Query Balance","3","203000000000010002","2014-04-08 17:38:47.984000","Customer Account Management - Query Balance","203000000000011205","2015-09-03 05:30:13.230000","","0","","10015","Customer Account Management - Query Balance","50","21","30015314"<endrec>
"BusinessPayment","2","203000000000010002","2014-04-09 16:20:39.229000","Business Payment To Customer","203000000000010805","2015-08-08 00:34:46.673000","","0","","10031","Business Payment To Customer","50","20004","30015440"<endrec>
"SalaryPaymentWithWithdrawalChargePaid","2","203000000000010002","2014-04-09 16:25:38.171000","Salary Payment To Customer Withdrawal Charge Paid","203000000000013608","2016-01-05 08:45:38.953000","","0","","10051","Salary Payment To Customer Withdrawal Charge Paid","50","20004","30015447"<endrec>
"BusinessPaymentWithWithdrawalChargePaid","2","203000000000010002","2014-04-09 16:28:47.709000","Business Payment To Customer Withdrawal Charge Paid","203000000000013608","2016-01-05 09:37:53.245000","","0","","10050","Business Payment To Customer Withdrawal Charge Paid","50","20004","30015454"<endrec>
"PromotionPayment","2","203000000000010002","2014-04-09 16:31:37.990000","Promotion Payment To Customer","203000000000013608","2016-01-05 09:35:11.628000","","0","","10052","Promotion Payment To Customer","50","20004","30015456"<endrec>
"Organization Withdrawal From M-PESA","2","203000000000010002","2014-04-10 15:11:05.590000","Organization Withdrawal From M-PESA","203000000000010063","2014-10-08 16:49:26.870000","","1","","10043","Organization Withdrawal From M-PESA","50","20013","30015672"<endrec>
"Customer MiniStatement","3","203000000000010002","2014-04-10 19:55:45.763000","Customer MiniStatement","203000000000022402","2017-07-25 10:53:45.993000","","0","","10068","Customer MiniStatement","50","20","30015680"<endrec>
