ORG_ROLE_ID,PERMISSION_IDENTIFIES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"10010002","MANAGE_GROUP_PER3_CHANGE_PRODUCT"<endrec>
"10010002","MANAGE_GROUP_PER3_CHANGE_RULE_PROFILE"<endrec>
"10010002","MANAGE_GROUP_PER3_CLOSE_ACCOUNT_STATUS"<endrec>
"10010002","MANAGE_GROUP_PER3_CONFIRM_TWO_PART_PAYMENT"<endrec>
"10010002","MANAGE_GROUP_PER3_CREATE_REMINDER_SCHEDULE"<endrec>
"10010002","MANAGE_GROUP_PER3_DELETE_BANK_CARD"<endrec>
"10010002","MANAGE_GROUP_PER3_DELETE_BANK_CARD_LOOKUP"<endrec>
"10010002","MANAGE_GROUP_PER3_EXPORT_AUDIT_LOG"<endrec>
"10010002","MANAGE_GROUP_PER3_EXPORT_GROUP_ACCOUNT"<endrec>
"10010002","MANAGE_GROUP_PER3_GROUP_CANCEL_CARD"<endrec>
"10010002","MANAGE_GROUP_PER3_INITIAL_REVERSAL_REQUEST"<endrec>
"10010002","MANAGE_GROUP_PER3_INITIATE_FX_TRANSACTION"<endrec>
"10010002","MANAGE_GROUP_PER3_INITIATE_TRANSACTION_ON_BEHALF_OF"<endrec>
"10010002","MANAGE_GROUP_PER3_QUERY_SAVING_PLAN_FOR_GROUP"<endrec>
"10010002","MANAGE_GROUP_PER3_REGISTER_CARD_4_GROUP"<endrec>
"10010002","MANAGE_GROUP_PER3_REMOVE_GROUP_MEMBER"<endrec>
"10010002","MANAGE_GROUP_PER3_REVERSE_TRANSACTION"<endrec>
"10010002","MANAGE_GROUP_PER3_REVIEW_REVERSAL_REQUEST"<endrec>
"10010002","MANAGE_GROUP_PER3_REVIEW_TRANSACTION"<endrec>
"10010002","MANAGE_GROUP_PER3_SET_DEFAULT_BANK_CARD"<endrec>
"10010002","MANAGE_GROUP_PER3_SUBSCRIBE_SAVING_PLAN"<endrec>
"10010002","MANAGE_GROUP_PER3_SUBSCRIBE_SAVING_PLAN_FOR_GROUP"<endrec>
"10010002","MANAGE_GROUP_PER3_UNSUBSCRIBE_SAVING_PLAN"<endrec>
