CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,END_DIGIT,ENTIRE_OR_NOT,EXTRA_1,EXTRA_10,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7,EXTRA_8,EXTRA_9,FOR_TXN_INDEX,IS_OTHER_VOUCHER,IS_VALUE_LINKED,LAST_OPER_ID,LAST_OPER_TIME,LINKED_VALUE_TYPE,LOAD_DATA_TS,MAX_ACTIVE_COUNT,NEED_KYC_INFO,REDEEMING_ORG_HIER_TYPE,REDEEMING_ORG_SHORT_CODE,START_DIGIT,STATUS,SUPPORT_SECRET_CODE,UNIQUE_ID,VALIDITY_PERIOD_DAY,VALIDITY_PERIOD_HOUR,VALIDITY_PERIOD_MINUTE,VALID_FIELD,VALID_FIELD_DATA,VALUE_CHECK_MODE,VOUCHER_CODE_FORMAT,VOUCHER_TYPE_ALIAS,VOUCHER_TYPE_INDEX,VOUCHER_TYPE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                               <endrec>
"203000000000013818","2016-05-16 21:41:55.658000","Child School Lunch Voucher (exact amount current and child only)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000013818","2016-05-16 22:09:12.153000","01","","0","FALSE","2","9879871","-1","30","N","937200560","2","0","0","","","0","????","Child School Lunch Voucher (exact amount current and child only)","10000124","Child School Lunch Voucher (exact amount current and child only)"<endrec>
"203000000000013818","2016-05-16 21:57:35.545000","Child School Lunch Voucher (all hierarchy)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000014908","2016-08-23 10:10:09.119000","01","","0","FALSE","4","987987","-1","50","N","937200561","2","0","0","","","1","????","Child School Lunch Voucher (all hierarchy)","10000125","Child School Lunch Voucher (all hierarchy)"<endrec>
"203000000000013818","2016-05-16 21:58:19.839000","Child School Lunch Voucher (current and child only)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000013818","2016-05-16 22:08:58.442000","01","","0","FALSE","2","9879871","-1","30","N","937200562","2","0","0","","","1","????","Child School Lunch Voucher (current and child only)","10000126","Child School Lunch Voucher (current and child only)"<endrec>
"203000000000013818","2016-05-16 21:59:20.414000","Child School Lunch Voucher (org only)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000013818","2016-05-16 22:09:25.683000","01","","0","FALSE","1","9879870","-1","30","N","937200563","2","0","0","","","1","????","Child School Lunch Voucher (org only)","10000127","Child School Lunch Voucher (org only)"<endrec>
"203000000000013818","2016-05-17 19:52:09.196000","","","TRUE","Offer Heading","Other details","Offer details","Valid from","Valid Until","Terms","Participating retailer names","Valid shortcodes","Serial Number","Promoter Name","","1","FALSE","203000000000014908","2016-08-22 11:00:42.833000","01","","0","FALSE","4","","-1","50","N","937200589","2","0","0","","","0","********","Coupon","10000128","Coupon"<endrec>
"203000000000014908","2016-05-20 09:39:48.998000","Business Deposit Voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000016349","2018-03-30 07:44:15.485000","01","","0","TRUE","","","-1","50","N","937203565","1","1","1","01","","0","T?*###","Business Deposit Voucher","10000133","Business Deposit Voucher"<endrec>
"203000000000014908","2016-05-23 10:33:06.653000","For Business withdraw with voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000014911","2016-11-04 14:31:31.459000","01","","0","TRUE","","","-1","50","N","937205543","1","1","1","01","","0","T?*###","Business withdraw Voucher","10000143","Business withdraw Voucher_VDF_Demo"<endrec>
"203000000000013818","2016-05-23 17:42:50.664000","SP Voucher","","TRUE","Promotion caption","","Promotion description","Promotion TandC","","","","","","","","1","FALSE","203000000000015710","2016-07-15 12:05:21.445000","01","","0","FALSE","4","","-1","50","N","937205551","5","0","0","","","0","****","SP Voucher","10000144","SP Voucher"<endrec>
"203000000000013022","2016-05-25 05:01:41.069000","Child School Lunch Voucher (exact amount org only)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000011311","2016-05-26 11:32:14.622000","01","","1","FALSE","1","9879870","-1","50","N","937205599","2","0","0","","","0","????","Child School Lunch Voucher (exact amount org only)","10000123","Child School Lunch Voucher (exact amount org only)"<endrec>
"203000000000010806","2016-05-25 07:53:54.156000","Group ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","0","TRUE","203000000000013022","2016-05-27 11:32:49.161000","01","","0","TRUE","","","-1","50","N","937205603","0","0","5","02","","1","######","Group ATM Withdawal Voucher","10000117","Group ATM Withdawal Voucher"<endrec>
"203000000000011311","2016-05-26 11:31:57.861000","Child School Lunch Voucher (exact amount org only)","","TRUE","","","","","","","","","","","","1","TRUE","203000000000010806","2016-08-03 09:08:31.468000","01","","5","FALSE","1","9879870","-1","50","N","937205643","2","0","0","","","0","????","Child School Lunch Voucher (exact amount org only)","10000123","Child School Lunch Voucher (exact amount org only)"<endrec>
"203000000000013022","2016-05-27 05:23:37.403000","Group Buy Goods Voucher","","TRUE","","","","","","","","","","","","0","TRUE","203000000000014102","2016-06-13 20:58:50.017000","01","","1","FALSE","","","-1","50","N","937205651","1","0","0","02","","1","#####","Group Buy Goods Voucher","10000115","Group Buy Goods Voucher"<endrec>
"203000000000013022","2016-05-27 05:28:24.203000","Group Withdrawal Voucher","","TRUE","","","","","","","","","","","","0","TRUE","203000000000013022","2016-05-27 09:37:41.868000","01","","1","FALSE","","","-1","50","N","937205652","1","0","0","02","","1","#####","Group Withdrawal Voucher","10000114","Group Withdrawal Voucher"<endrec>
"203000000000013022","2016-05-27 05:32:12.766000","Deposit Voucher For Group","4","FALSE","","","","","","","","","","","","0","FALSE","203000000000014908","2016-06-12 21:21:55.580000","01","","1","FALSE","","","-1","50","N","937205653","1","0","0","02","","0","######","Deposit Voucher For Group","10000113","Deposit Voucher For Group"<endrec>
"203000000000013022","2016-05-27 09:37:34.638000","Group Withdrawal Voucher","","TRUE","","","","","","","","","","","","0","TRUE","203000000000013022","2016-06-05 21:40:04.131000","01","","5","FALSE","","","-1","50","N","937205669","1","0","0","02","","1","#####","Group Withdrawal Voucher","10000114","Group Withdrawal Voucher"<endrec>
"203000000000013022","2016-05-27 11:32:41.669000","Group ATM Withdawal Voucher","","TRUE","","","","","","","","","","","","0","FALSE","203000000000010811","2016-08-01 08:10:28.329000","01","","0","TRUE","","","-1","50","N","937205673","0","0","5","02","","1","######","Group ATM Withdawal Voucher","10000117","Group ATM Withdawal Voucher"<endrec>
"203000000000013818","2016-05-27 15:21:47.034000","ATM Withdrawal Voucher For Customer (value)","4","FALSE","","","","","","","","","","","","0","TRUE","203000000000014908","2016-08-04 08:28:38.087000","01","","0","TRUE","","","-1","50","N","937205682","1","0","0","00","","1","######","ATM Withdrawal Voucher For Customer (value)","10000145","ATM Withdrawal Voucher For Customer (value)"<endrec>
"203000000000013818","2016-05-27 17:26:41.528000","Customer Apply OTC Voucher","4","TRUE","","","","","","","","","","","","0","TRUE","203000000000013022","2016-08-04 11:41:19.863000","01","","0","TRUE","","","-1","50","N","937205683","1","0","0","01","","1","######","Customer Apply OTC Voucher","10000146","Customer Apply OTC Voucher"<endrec>
"203000000000013818","2016-05-27 17:32:59.219000","Organisation OTC Voucher","4","TRUE","","","","","","","","","","","","0","TRUE","203000000000013818","2016-05-27 17:33:18.702000","01","","0","TRUE","","","-1","30","N","937205685","1","0","0","01","","1","######","Organisation OTC Voucher","10000147","Organisation OTC Voucher"<endrec>
