ALIAS,CATEGORY_CODE,DISPLAY_LEVEL,DISPLAY_ORDER,ID,IS_ENABLE,LINKED_SERVICE_CODE,PARENT_ID,REQUEST_TEXT,SERVICE_CODE,STK_TRANSACTION_TYPE,USSD_CMD,USSD_PROCESS_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"Loan Limit","TILL","3","4","24610","1","","24606","3","OrgOp FSI credit limit","","","1779"<endrec>
"Cancel Schedule","TILL","2","4","24702","1","","2000","3","Cancel Org Reminder Schedule","","","1597"<endrec>
"View Schedule","TILL","2","3","24703","1","","2000","2","View Org Reminder Schedules","","","1573"<endrec>
"Request Buy Goods Card Voucher","CUSTOMER","2","4","24806","1","","440","4","Customer request buy goods voucher linked card","","","1026"<endrec>
"Loyalty","CUSTOMER","1","1","25502","1","","-1","80","-1","","","-1"<endrec>
"Query Loyalty Account","CUSTOMER","2","1","25503","1","","25502","81","Customer Query Loyalty Account","","","1759"<endrec>
"Query Loyalty Statement","CUSTOMER","2","2","25504","1","","25502","82","Customer Query Loyalty Statement","","","1761"<endrec>
"Query Group Loyalty Account","CUSTOMER","2","3","25505","1","","25502","83","Customer Query Group Loyalty Account","","","1760"<endrec>
"Query Group Loyalty Statement","CUSTOMER","2","4","25506","1","","25502","84","Customer Query Group Loyalty Statement","","","1762"<endrec>
"Loyalty","TILL","1","12","25507","1","","-1","90","-1","","","-1"<endrec>
"Operator Query Consumer Loyalty Account","TILL","2","1","25508","1","","25507","91","Organisation Query Loyalty account for other","","","1765"<endrec>
"Operator Query Consumer Loyalty Statement","TILL","2","2","25509","1","","25507","92","Organisation Query Loyalty Statement for other","","","1767"<endrec>
"Operator Query Loyalty Statement","TILL","2","4","25511","1","","25507","94","Organisation Query Loyalty Statement for other","","","1764"<endrec>
"Redeem Points To Balance","TILL","2","5","25512","0","","25507","95","Organisation redeem Loyalty Points","","","1841"<endrec>
"Redeem Points To Goods","TILL","2","6","25513","0","","25507","96","Organisation redeem Loyalty Points","","","1863"<endrec>
"Business Pay Bill","TILL","1","63","25701","1","","-1","88","businesspaybill","","","1044"<endrec>
"Pre-Validation","CUSTOMER","1","32","25901","1","","-1","119","-1","","","-1"<endrec>
"Send Money Prevalidation","CUSTOMER","2","1","25904","1","","25901","101","Send Money","","","1743"<endrec>
"From Merchant","TILL","2","3","26001","1","","20523","3","MerchantTransferFromMerchantToWorking","","","1023"<endrec>
"Create Schedule","TILL","2","2","26502","1","","2000","1","-1","","","-1"<endrec>
"pay bill","TILL","3","1","26503","1","BusinessPayBill","26502","1","Create Org Reminder Schedule","","","1602"<endrec>
"CCH for Customer","TILL","1","11","26601","1","","-1","26","-1","","","-1"<endrec>
"CCH Identify Customer","TILL","2","1","26602","1","","26601","1","Customer Care Handset - Manage Identity","","","1714"<endrec>
"CCH Change Customer KYC","TILL","2","2","26603","1","","26601","5","Customer Care Handset - Manage Identity","CCHChangeCustKYC","","1718"<endrec>
"Saving Plan","CUSTOMER","1","106","26902","1","","-1","79","-1","","","-1"<endrec>
"Subscribe Saving Plan For Customer","CUSTOMER","2","1","27002","1","","26902","1","Customer Order Saving Plan for Customer","","","1783"<endrec>
"Subscribe Saving Plan For Group","CUSTOMER","2","2","27003","1","","26902","2","Customer Order Saving Plan for Group","","","1784"<endrec>
"UnSubscribe Saving Plan For Customer","CUSTOMER","2","3","27004","1","","26902","3","Customer UnSubscribe Saving Plan for Customer","","","1787"<endrec>
"UnSubscribe Saving Plan For Group","CUSTOMER","2","4","27005","1","","26902","4","Customer UnSubscribe Saving Plan for Group","","","1788"<endrec>
"Saving Plan","TILL","1","100","27006","1","","-1","79","-1","","","-1"<endrec>
"Subscribe Saving Plan For Customer","TILL","2","1","27007","1","","27006","1","OrgOperator Order Saving Plan for Customer","","","1789"<endrec>
"Subscribe Saving Plan For Group","TILL","2","2","27008","1","","27006","2","OrgOperator Order Saving Plan for Group","","","1790"<endrec>
"UnSubscribe Saving Plan For Customer","TILL","2","4","27009","1","","27006","4","OrgOperator UnSubscribe Saving Plan for Customer","","","1794"<endrec>
"UnSubscribe Saving Plan For Group","TILL","2","5","27010","1","","27006","5","OrgOperator UnSubscribe Saving Plan for Group","","","1799"<endrec>
"UnSubscribe Saving Plan For Org","TILL","2","6","27011","1","","27006","6","OrgOperator UnSubscribe Saving Plan for Org","","","1796"<endrec>
"Subscribe Saving Plan For Org","TILL","2","3","27012","1","","27006","3","OrgOperator Order Saving Plan for Org","","","1793"<endrec>
"Issue Refund","TILL","2","8","27301","1","","20113","7","Organization Issue Organization Voucher","","","1531"<endrec>
"Self Service","TILL","1","10","27501","1","","-1","69","-1","","","-1"<endrec>
"Query Transaction Via Receipt No","TILL","2","1","27502","1","","27501","1","Query Transaction Via Receipt No","","","27503"<endrec>
"Operator Query Loyalty Account","TILL","2","8","27601","1","","25507","93","-1","","","-1"<endrec>
"Loyalty Point Provider Account","TILL","3","1","27603","1","","27601","1","Organisation Query Loyalty account for Self","","","1763"<endrec>
"Loyalty Point Consumer Account","TILL","3","2","27604","1","","27601","2","Organisation Query Loyalty account for Consumer","","","1763"<endrec>
"Send Money 2 factor Last Name1","CUSTOMER","2","11","28013","1","","22340","8","Send Money 2 factor Last Name","","","28002"<endrec>
"Redeem Voucher","CUSTOMER","2","8","28209","1","","2215","7","Customer Redeem Voucher","","","2076"<endrec>
"Create Org Standing Order Schedule","TILL","2","5","28302","1","","2358","7","-1","","","-1"<endrec>
"pay bill","TILL","3","1","28304","1","BusinessPayBill","28302","1","Create Org Standing Order Schedule","","","1602"<endrec>
"Send Money 2 factor Last Name","CUSTOMER","2","10","28501","1","","22340","7","Send Money 2 factor Last Name","","","28002"<endrec>
"send money","CUSTOMER","1","30","28901","1","","-1","1","-1","","","-1"<endrec>
"send money","CUSTOMER","2","1","28902","1","","28901","1","Send Money","","","25000"<endrec>
"Change PIN With Prevalidation","CUSTOMER","2","2","29012","1","","20401","22","Change Pin With Pre-Validation","CustomerChangePIN","","29001"<endrec>
"Create Loyalty Consumer Account","TILL","1","9","29201","1","","-1","100","Organisation Query Loyalty account for Consumer","","","29202"<endrec>
