ACCESS_CHANNEL,CATEGORY,ERROR_CODE,FUNCTION_ID,IS_INSTANTLY,NOTIFICATION_RULE_ID,NOTIFICATION_TYPE,RECEIVING_CHANNEL,RECIPIENT_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"9999","0","IC50048","-1","1","178278","208000000000034239","9999","01"<endrec>
"9999","0","IC40555","-1","1","181279","208000000000034239","0000","01"<endrec>
"9999","0","AG45030","-1","","185280","107000000000066040","0000","06"<endrec>
"9999","0","TC72000","-1","1","187282","103000000000000036","0000","40"<endrec>
"1010","0","AG45030","-1","","189283","107000000000066041","0000","06"<endrec>
"1009","0","AG45030","-1","","194288","107000000000066040","9999","06"<endrec>
"9999","0","IC40581","-1","1","195284","208000000000102242","9999","01"<endrec>
"9999","0","AG45030","-1","0","198287","107000000000066040","0000","02"<endrec>
"1002","0","IC40125","-1","1","2","103000000000000047","9999","02"<endrec>
"1011","0","AG45030","-1","","211284","107000000000066040","0000","06"<endrec>
"9999","0","BCS50067","-1","1","241284","107000000000010032","9999","04"<endrec>
"9999","0","BCS50067","-1","1","241285","107000000000010032","9999","05"<endrec>
"9999","0","TP30067","-1","1","241286","107000000000010032","9999","04"<endrec>
"9999","0","TP30067","-1","1","241287","103000000000000039","9999","05"<endrec>
"9999","0","BCS50067","-1","1","241288","103000000000000039","9999","06"<endrec>
"9999","0","TP30067","-1","1","241289","107000000000010032","1001","06"<endrec>
"9999","0","TP30067","-1","1","241290","103000000000000039","9999","02"<endrec>
"9999","0","TP30067","-1","1","241291","103000000000000039","9999","01"<endrec>
"9999","0","GV50115","-1","1","251284","103000000000000039","9999","01"<endrec>
