IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","208000000000107238","ChangeGroupKYC","9999","02","0"<endrec>
"1","208000000000079239","ChangeGroupMemberRole","0000","7000","500000000000011802"<endrec>
"1","208000000000079239","ChangeGroupMemberRole","9999","0","0"<endrec>
"1","208000000000079238","ChangeGroupMemberRole","9999","01","0"<endrec>
"1","208000000000099241","ChangeGroupName","9999","02","0"<endrec>
"1","102000000000000026","ChangeGroupProduct","9999","02","0"<endrec>
"1","208000000000058238","ChangeGroupRuleProfile","0000","01","0"<endrec>
"1","208000000000058238","ChangeGroupRuleProfile","9999","02","0"<endrec>
"1","102000000000000031","ChangeGroupRuleProfile","9999","15","0"<endrec>
"1","208000000000016239","ChangeGroupStatus","0000","06","0"<endrec>
"1","208000000000016239","ChangeGroupStatus","0000","7000","500000000000011802"<endrec>
"1","208000000000016239","ChangeGroupStatus","0000","7000","500000000000011902"<endrec>
"1","208000000000016239","ChangeGroupStatus","9999","01","0"<endrec>
"1","208000000000016239","ChangeGroupStatus","9999","7000","500000000000011803"<endrec>
"1","103000000000000371","ChangeLinkStatus","1001","02","0"<endrec>
"1","103000000000000371","ChangeLinkStatus","1001","15","0"<endrec>
"1","103000000000000371","ChangeLinkStatus","1011","01","0"<endrec>
"1","208000000000084240","ChangeOrgAcctStatus","0000","01","0"<endrec>
"1","208000000000084240","ChangeOrgAcctStatus","0000","02","0"<endrec>
"1","102000000000000041","ChangeOrgBankAccountInfo","0000","02","0"<endrec>
"1","102000000000000050","ChangeOrgIdentityModel","0000","02","0"<endrec>
"1","102000000000000069","ChangeOrgKYC","0000","01","0"<endrec>
"1","102000000000000069","ChangeOrgKYC","9999","02","0"<endrec>
"1","102000000000000039","ChangeOrgName","9999","01","0"<endrec>
"1","102000000000000071","ChangeOrgOperatorKYC","0000","02","0"<endrec>
"1","102000000000000071","ChangeOrgOperatorKYC","9999","01","0"<endrec>
"1","102000000000000071","ChangeOrgOperatorKYC","9999","0201","0"<endrec>
