ASSIGN_TO,DATA_TYPE,ELEMENT_ID,ELEMENT_NAME,END_ALIGN_MODE,END_LOCATION_PARA1,END_LOCATION_PARA2,END_LOCATION_TYPE,MAXIMUM_TIMES,MINIMUM_TIMES,ORDER_ID,PARENT_ID,RULE_DEFINITION,START_ALIGN_MODE,START_LOCATION_PARA1,START_LOCATION_PARA2,START_LOCATION_TYPE,TEMPLATE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"CREDIT_IDENTIFER","2","17001","Credit Identifier","1","+24","","2","1","1","2","111","301874","2","/","","2","2"<endrec>
"0","2","17002","Statement File Content","1","End of File","","2","1","1","1","0","200","1","1","0","1","17001"<endrec>
"BANK_STATEMENT_NO","2","17003","Bank Statement NO","1","1","1","1","1","0","1","17002","201","1","1","0","1","17001"<endrec>
"TRUST_BANK_ACCOUNT","2","17004","Bank Trust Account","1","End of Line","","2","1","1","2","17002","202","2",":25:","","2","17001"<endrec>
"0","0","17005","Entries","1","End of File","","2","1","1","3","17002","","1",":61:","","2","17001"<endrec>
"0","0","17006","Entry","1","End of File","End of Line","2","2","1","1","17005","","1",":61:","","2","17001"<endrec>
"0","0","17007","61","1",":86:","End of Line","2","1","1","1","17006","","2",":61:","","2","17001"<endrec>
"VALUE_DATE","2","17008","Transaction Date","1","1","6","1","1","1","1","17007","206","1","1","0","1","17001"<endrec>
"ENTRY_DATE","2","17009","Entry Date","1","1","10","1","1","1","2","17007","207","1","1","6","1","17001"<endrec>
"DEBIT_CREDIT","2","17010","Debit Credit Mark","1","1","11","1","1","1","3","17007","203","1","1","10","1","17001"<endrec>
"TRANSACTION_AMOUNT","0","17011","Amount","1","End of Number(,)","","2","1","1","4","17007","","2","1","11","1","17001"<endrec>
"BANK_TRANSACTION_NO","0","17012","Bank transaction reference","1","End of Line","End of Number(,)","2","1","1","5","17007","","2","//","","2","17001"<endrec>
"0","0","17013","86","1","End of Line","","2","1","1","2","17006","","2",":86:","","2","17001"<endrec>
"REASON_TYPE","2","17014","Reason type","1","End of Line","","2","1","1","1","17013","204","2","+20","","2","17001"<endrec>
"CREDIT_IDENTIFER","2","17015","Credit Identifier","1","+24","","2","1","1","2","17013","301874","2","/","","2","17001"<endrec>
"CPS_TRANSACTION_NO","2","17016","Transaction ID","1","/","","2","1","1","3","17013","205","2","+24","","2","17001"<endrec>
"TRANSACTION_DETAIL","2","17017","Transaction Details","1","+20","","2","1","0","4","17013","208","2","/","0","2","17001"<endrec>
"CPS_TRANSACTION_NO","2","18","Transaction ID","1","/","","2","1","1","3","15","108","2","^24","","2","1"<endrec>
"0","0","18001","File","1","End of File","","2","1","1","1","0","","1","1","0","1","18001"<endrec>
"TRANSACTION_DETAIL","2","19","Transaction Details","1","End of Line","","2","1","1","4","15","109","2","^24","","2","1"<endrec>
"BANK_STATEMENT_NO","2","2","Bank Statement NO","1","1","1","1","1","0","1","1","100","1","1","0","1","1"<endrec>
"0","2","20","62","1","End of Line","End Of Line","2","1","1","5","1","","2",":62F:","","2","1"<endrec>
"TRANSACTION_AMOUNT","2","201","Amount","2","End of Line","","2","1","1","5","211","313","1","1","0","1","3"<endrec>
"BANK_STATEMENT_NO","2","202","BankStatementNo","2","End of Line","","2","1","1","1","215","301","1","1","0","1","3"<endrec>
"ONLY_VALIDATION","2","203","Blank Line(3)","2","End of Line","","2","1","0","4","215","309","1","3","0","1","3"<endrec>
"ONLY_VALIDATION","2","204","Blank Link(4)","2","End of File","","2","1","0","5","215","310","1","4","0","1","3"<endrec>
"DEBIT_CREDIT","2","205","Credit Debit Mark","2","End of Line","","2","1","1","4","211","306","1","1","0","1","3"<endrec>
"CREDIT_IDENTIFER","2","206","Credit Identifier","2","End of Line","","2","1","1","7","211","303","1","1","0","1","3"<endrec>
"CURRENCY","2","207","Currency","2","End of Line","","2","1","1","2","215","300533","1","1","0","1","3"<endrec>
"ENTRY_DATE","2","208","Date","2","End of Line","","2","1","1","1","211","308","1","1","0","1","3"<endrec>
"0","0","209","Entries","1","Last Line","","2","1","1","7","215","","1","6","0","1","3"<endrec>
"CLOSING_BALANCE","0","21","Closing Balance","1","End of Line","End Of Line","2","1","1","1","20","","1","1","10","1","1"<endrec>
"ONLY_VALIDATION","2","210","Entries Count","2","End of Line","","2","1","1","8","215","316","1","Last Line","","2","3"<endrec>
"0","0","211","Entry","2","End of Line","","2","-1","1","1","209","","1","1","0","1","3"<endrec>
"OPENING_BALANCE","2","212","Opening Balance","2","End of Line","","2","1","1","3","215","306965","1","2","0","1","3"<endrec>
"REASON_TYPE","2","213","Reason Type","2","End of Line","","2","1","1","6","211","301921","1","1","0","1","3"<endrec>
"BANK_TRANSACTION_NO","2","214","Reference No","2","End of Line","","2","1","1","3","211","312","1","1","0","1","3"<endrec>
"0","2","215","Statement File Context","1","End of File","","2","1","1","1","0","300532","1","1","0","1","3"<endrec>
"VALUE_DATE","2","216","Transaction Date","2","End of Line","","2","1","1","2","211","302","1","1","0","1","3"<endrec>
"TRANSACTION_DETAIL","2","217","Transaction Details","2","End of Line","","2","1","1","9","211","303795","1","1","0","1","3"<endrec>
"CPS_TRANSACTION_NO","2","218","Transaction ID","2","End of Line","","2","1","1","8","211","304038","1","1","0","1","3"<endrec>
"TRUST_BANK_ACCOUNT","2","3","Bank Trust Account","1","End of Line","","2","1","1","2","1","102","2",":25:","","2","1"<endrec>
"0","0","4","60F","1","End of Line","","2","1","1","3","1","","2",":60F:","","2","1"<endrec>
"CURRENCY","0","5","Currency","1","1","10","1","1","1","1","4","","1","1","7","1","1"<endrec>
"OPENING_BALANCE","0","6","Opening Balance","1","End of Line","","2","1","1","2","4","","1","1","10","1","1"<endrec>
"0","0","7","Entries","1",":62F:","","2","1","1","4","1","","1",":61:","","2","1"<endrec>
"0","0","8","Entry","1","End of File","End of Line","2","-1","1","1","7","","1",":61:","","2","1"<endrec>
"0","0","9","61","1",":86:","End of Line","2","1","1","1","8","","2",":61:","","2","1"<endrec>
