CHANGE_BY_OWNER,DISPLAY_IN_SEARCH_RESULT,ENABLED,IDENTITY_TYPE,IS_CASE_SENSITIVE,IS_UNIQUE,KYC_FIELD_ID,KYC_GROUP_ID,LOAD_DATA_TS,MANDATORY,MAP_FIELD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   <endrec>
"","0","0","1000","0","0","305","300","","0","ContactDetail.surname"<endrec>
"","0","0","1000","0","0","306","300","","0","ContactDetail.phoneNumber"<endrec>
"","0","0","1000","0","0","307","300","","0","ContactDetail.idType"<endrec>
"","0","0","1000","0","0","308","300","","0","ContactDetail.idNumber"<endrec>
"","0","0","1000","0","0","310","300","","0","ContactDetail.status"<endrec>
"0","0","1","2000","0","0","1001","1001","","1","field1"<endrec>
"0","0","1","2000","0","0","1002","1001","","0","field2"<endrec>
"0","0","1","2000","0","0","1003","1001","","1","field3"<endrec>
"0","0","1","2000","0","0","1004","1001","","0","field4"<endrec>
"0","0","1","2000","0","0","1013","1007","","1","field5"<endrec>
"0","0","1","2000","0","0","1014","1007","","0","field6"<endrec>
"0","0","1","2000","0","0","1015","1007","","0","field7"<endrec>
"0","0","1","2000","0","0","102","100","","1","IdDetail.idType"<endrec>
"0","0","1","2000","0","0","103","100","","1","IdDetail.idNumber"<endrec>
"0","0","1","2000","0","0","1030","1018","","0","field33"<endrec>
"0","0","1","2000","0","0","104","100","","0","IdDetail.effectiveDate"<endrec>
"0","0","1","2000","0","0","105","100","","0","IdDetail.expiryDate"<endrec>
"0","0","1","2000","0","0","106","100","","0","IdDetail.idDocument"<endrec>
"0","0","1","2000","0","0","107","100","","0","IdDetail.status"<endrec>
"0","0","1","2000","0","0","108","100","","0","IdDetail.issuedBy"<endrec>
"","0","0","2000","0","0","110010","1001","","0","field99"<endrec>
"0","0","1","2000","0","0","110020","1001","","0","field97"<endrec>
"0","0","1","2000","0","0","110030","1001","","0","field98"<endrec>
"0","0","1","2000","0","0","110140","1001","","0","field100"<endrec>
"0","0","1","2000","0","0","113046","310583","","0","field91"<endrec>
"","0","0","2000","0","0","202","200","","0","CertificateDetail.certificateType"<endrec>
"","0","0","2000","0","0","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","0","0","2000","0","0","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","0","0","2000","0","0","205","200","","0","CertificateDetail.expiryDate"<endrec>
"0","0","1","2000","0","0","206","200","","0","CertificateDetail.status"<endrec>
"","0","0","2000","0","0","302","300","","0","ContactDetail.contactType"<endrec>
"","0","0","2000","0","0","303","300","","0","ContactDetail.firstName"<endrec>
"","0","0","2000","0","0","304","300","","0","ContactDetail.secondName"<endrec>
"","0","0","2000","0","0","305","300","","0","ContactDetail.surname"<endrec>
"","0","0","2000","0","0","306","300","","0","ContactDetail.phoneNumber"<endrec>
"","0","0","2000","0","0","307","300","","0","ContactDetail.idType"<endrec>
"","0","0","2000","0","0","308","300","","0","ContactDetail.idNumber"<endrec>
"","0","0","2000","0","0","310","300","","0","ContactDetail.status"<endrec>
"0","0","1","3000","0","0","1001","1001","","1","field1"<endrec>
"0","0","1","3000","0","0","1002","1001","","0","field2"<endrec>
"0","0","1","3000","0","0","1003","1001","","1","field3"<endrec>
"0","0","1","3000","0","0","1004","1001","","0","field4"<endrec>
"0","0","1","3000","0","0","1013","1007","","0","field5"<endrec>
"0","0","1","3000","0","0","1014","1007","","0","field6"<endrec>
"0","0","1","3000","0","0","1015","1007","","0","field7"<endrec>
"0","0","1","3000","0","0","102","100","","0","IdDetail.idType"<endrec>
"","0","0","3000","0","0","1026","1014","","0","field35"<endrec>
"0","0","1","3000","0","0","103","100","","0","IdDetail.idNumber"<endrec>
"0","0","1","3000","0","0","1030","1018","","0","field33"<endrec>
"","0","0","3000","0","0","104","100","","0","IdDetail.effectiveDate"<endrec>
"0","0","1","3000","0","0","105","100","","0","IdDetail.expiryDate"<endrec>
"","0","0","3000","0","0","106","100","","0","IdDetail.idDocument"<endrec>
"0","0","1","3000","0","0","107","100","","0","IdDetail.status"<endrec>
"0","0","1","3000","0","0","108","100","","0","IdDetail.issuedBy"<endrec>
"","0","0","3000","0","0","110010","1001","","0","field99"<endrec>
"0","0","1","3000","0","0","110020","1001","","0","field97"<endrec>
"0","0","1","3000","0","0","110030","1001","","0","field98"<endrec>
"0","0","1","3000","0","0","110040","1003","","0","field89"<endrec>
"0","0","1","3000","0","0","110140","1001","","0","field100"<endrec>
"0","0","1","3000","0","0","110746","310083","","0","field31"<endrec>
"1","0","1","3000","0","0","111166","1001","","0","field91"<endrec>
"0","0","1","3000","0","0","113046","310583","","0","field88"<endrec>
"","0","0","3000","0","0","202","200","","0","CertificateDetail.certificateType"<endrec>
"","0","0","3000","0","0","203","200","","0","CertificateDetail.certificateNumber"<endrec>
"","0","0","3000","0","0","204","200","","0","CertificateDetail.certifiedDate"<endrec>
"","0","0","3000","0","0","205","200","","0","CertificateDetail.expiryDate"<endrec>
"0","0","1","3000","0","0","206","200","","0","CertificateDetail.status"<endrec>
"0","0","1","3000","0","0","302","300","","0","ContactDetail.contactType"<endrec>
"0","0","1","3000","0","0","303","300","","0","ContactDetail.firstName"<endrec>
"0","0","1","3000","0","0","304","300","","0","ContactDetail.secondName"<endrec>
"0","0","1","3000","0","0","305","300","","0","ContactDetail.surname"<endrec>
"0","0","1","3000","0","0","306","300","","0","ContactDetail.phoneNumber"<endrec>
"","0","0","3000","0","0","307","300","","0","ContactDetail.idType"<endrec>
"0","0","1","3000","0","0","308","300","","0","ContactDetail.idNumber"<endrec>
"0","0","1","3000","0","0","309","300","","0","field90"<endrec>
"","0","0","3000","0","0","310","300","","0","ContactDetail.status"<endrec>
"0","0","1","5000","0","0","1001","1001","","0","field61"<endrec>
"0","0","1","5000","0","0","1003","1001","","0","field60"<endrec>
"0","0","1","5000","0","0","1004","1001","","0","field62"<endrec>
"0","0","1","5000","0","0","1005","1002","","0","field1"<endrec>
"0","0","1","5000","0","0","1006","1002","","0","field2"<endrec>
"0","0","1","5000","0","0","1007","1003","","0","field3"<endrec>
"0","0","1","5000","0","0","1008","1003","","0","field4"<endrec>
"0","0","1","5000","0","0","1009","1003","","0","field5"<endrec>
"0","0","1","5000","0","0","1010","1003","","0","field6"<endrec>
"","0","0","5000","0","0","1010","1007","","0","field77"<endrec>
"","0","0","5000","0","0","1010","310072","","0","field68"<endrec>
"0","0","1","5000","0","0","1011","1003","","0","field7"<endrec>
"","0","0","5000","0","0","1011","1007","","0","field75"<endrec>
"","0","0","5000","0","0","1011","310072","","0","field71"<endrec>
"","0","0","5000","0","0","1012","1004","","0","field8"<endrec>
"0","0","1","5000","0","0","1013","1007","","0","field9"<endrec>
"0","0","1","5000","0","0","1014","1007","","0","field10"<endrec>
"0","0","1","5000","0","0","1015","1007","","0","field11"<endrec>
"0","0","1","5000","0","0","1016","1007","","0","field12"<endrec>
"0","0","1","5000","0","0","1017","1003","","0","field13"<endrec>
"0","0","1","5000","0","0","1018","1008","","0","field14"<endrec>
"0","0","1","5000","0","0","1019","1009","","0","field15"<endrec>
"","0","0","5000","0","0","102","100","","0","IdDetail.idType"<endrec>
"0","0","1","5000","0","0","1020","1009","","0","field16"<endrec>
"","0","0","5000","0","0","1028","1016","","0","field17"<endrec>
"0","0","1","5000","0","0","1029","1017","","0","field32"<endrec>
"","0","0","5000","0","0","103","100","","0","IdDetail.idNumber"<endrec>
"0","0","1","5000","0","0","1031","1019","","0","field33"<endrec>
"0","0","1","5000","0","0","1032","1020","","0","field34"<endrec>
"0","0","1","5000","0","0","1033","1020","","0","field35"<endrec>
"0","0","1","5000","0","0","1034","1021","","0","field36"<endrec>
"","0","0","5000","0","0","104","100","","0","IdDetail.effectiveDate"<endrec>
"","0","0","5000","0","0","105","100","","0","IdDetail.expiryDate"<endrec>
"","0","0","5000","0","0","106","100","","0","IdDetail.idDocument"<endrec>
"0","0","1","5000","0","0","1060","2010","","0","field37"<endrec>
"","0","0","5000","0","0","107","100","","0","IdDetail.status"<endrec>
"0","0","1","5000","0","0","1070","2010","","0","field38"<endrec>
"","0","0","5000","0","0","108","100","","0","IdDetail.issuedBy"<endrec>
