POLICY_ID,RECEIVER_ID,ROUTING_TYPE,STATUS,TEP_POLICY_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"15067","10201","1","A","937619796"<endrec>
"15068","10201","1","B","937619798"<endrec>
"15069","10201","1","B","937619857"<endrec>
"15070","10201","1","B","937619858"<endrec>
"15071","10201","1","B","937619883"<endrec>
"15072","10201","1","B","937619884"<endrec>
"15077","10201","1","A","937707801"<endrec>
"5001","10401","1","A","937208572"<endrec>
"5001","10401","2","A","937210723"<endrec>
"5001","10401","1","A","937210736"<endrec>
"10003","10401","2","B","937251694"<endrec>
"3001","10402","2","A","937407023"<endrec>
"15010","10402","2","A","937415129"<endrec>
"3001","10402","2","B","937415132"<endrec>
"3001","10402","2","A","937415139"<endrec>
"3001","10402","2","A","937551727"<endrec>
"7001","10501","1","A","937215725"<endrec>
"15028","10501","2","A","937470655"<endrec>
"8001","10601","2","A","937220661"<endrec>
"3003","10601","2","A","937243688"<endrec>
"11001","10601","2","A","937253778"<endrec>
"13001","10601","1","A","937265775"<endrec>
"13001","10601","1","A","937265776"<endrec>
"13001","10601","1","A","937265777"<endrec>
"13001","10601","1","A","937265779"<endrec>
"13001","10601","2","A","937265783"<endrec>
"13001","10601","2","A","937265785"<endrec>
"3003","10601","2","A","937273818"<endrec>
"12001","10801","2","A","937254859"<endrec>
"13001","10901","2","A","937265720"<endrec>
"13001","10901","2","A","937265729"<endrec>
"13001","10901","2","A","937265731"<endrec>
"13001","10901","2","A","937265749"<endrec>
"13001","10901","2","A","937265751"<endrec>
"13001","10901","2","A","937265756"<endrec>
"13001","10901","2","A","937265757"<endrec>
"15001","10901","6","A","937279987"<endrec>
"15001","10901","6","A","937327951"<endrec>
"15001","10901","6","A","937365123"<endrec>
"15001","10901","6","A","937365189"<endrec>
"15001","10901","6","A","937366307"<endrec>
"15001","10901","6","A","937371493"<endrec>
"15001","10901","6","A","937428177"<endrec>
"15047","10901","1","B","937533750"<endrec>
"15048","10901","1","B","937533751"<endrec>
"15003","11001","2","A","937335884"<endrec>
"3001","11001","2","A","937402944"<endrec>
"15003","11001","2","A","937415079"<endrec>
"15003","11001","2","A","937415087"<endrec>
"15003","11001","2","A","937415096"<endrec>
"15003","11001","2","A","937462489"<endrec>
"15003","11001","2","A","937465457"<endrec>
"15003","11001","2","A","937465463"<endrec>
"15003","11001","2","A","937492626"<endrec>
"15003","11001","2","A","937496791"<endrec>
"15003","11001","2","A","937509990"<endrec>
"15003","11001","2","A","937510012"<endrec>
"15003","11001","2","A","937510069"<endrec>
"15003","11001","2","A","937510085"<endrec>
"15003","11001","2","A","937611779"<endrec>
"15003","11001","2","A","937611780"<endrec>
"15003","11001","2","A","937611781"<endrec>
"15003","11001","2","A","937612760"<endrec>
"15062","11001","2","A","937612767"<endrec>
"15003","11001","2","B","937612863"<endrec>
"15003","11001","2","A","937612864"<endrec>
"15073","11001","2","B","937641840"<endrec>
"15003","11001","2","A","937641841"<endrec>
"15074","11001","2","B","937641842"<endrec>
"15075","11001","2","A","937641851"<endrec>
"15003","11001","2","A","937641888"<endrec>
"15003","11001","2","B","937641889"<endrec>
"15003","11001","2","A","937641893"<endrec>
"15003","11001","2","B","937641896"<endrec>
"15003","11001","2","A","937641897"<endrec>
"15003","11001","2","B","937641899"<endrec>
"15003","11001","2","A","937641900"<endrec>
"15003","11001","2","A","937707804"<endrec>
"15003","11001","2","A","937707805"<endrec>
"15005","11101","1","A","937347902"<endrec>
"15005","11101","1","A","937347917"<endrec>
"3001","11101","2","A","937462477"<endrec>
"15029","11101","2","A","937471577"<endrec>
"3001","11101","2","A","937492625"<endrec>
"15044","11101","2","A","937509982"<endrec>
"15026","11502","2","A","937462479"<endrec>
"15026","11502","2","A","937465444"<endrec>
"15026","11502","2","A","937465454"<endrec>
"15026","11502","2","B","937465456"<endrec>
"15026","11502","2","A","937465458"<endrec>
"15026","11502","2","B","937465459"<endrec>
"15026","11502","2","A","937465462"<endrec>
"15026","11502","2","A","937465464"<endrec>
"15026","11502","2","A","937465469"<endrec>
"15026","11502","2","B","937510019"<endrec>
"15026","11502","2","A","937510029"<endrec>
"15026","11502","2","A","937551789"<endrec>
"15027","11601","4","A","937469573"<endrec>
"15028","11701","2","A","937470544"<endrec>
"15028","11701","2","A","937470654"<endrec>
"15028","11701","2","A","937470656"<endrec>
"15035","11801","1","A","937477562"<endrec>
"15046","11801","1","A","937531735"<endrec>
"15063","11801","1","A","937612810"<endrec>
"15064","11801","1","A","937612844"<endrec>
"15036","11901","1","A","937481622"<endrec>
"15036","11901","1","A","937510068"<endrec>
"15036","11901","2","A","937515881"<endrec>
"15036","11901","4","A","937515884"<endrec>
"15036","11901","3","A","937515885"<endrec>
"15036","11901","2","A","937515887"<endrec>
"15036","11901","2","A","937515912"<endrec>
"15036","11901","2","A","937515921"<endrec>
"15036","11901","2","A","937520727"<endrec>
"15036","11901","4","A","937527748"<endrec>
"15036","11901","5","A","937527749"<endrec>
"15036","11901","6","A","937529726"<endrec>
"15036","11901","2","A","937583802"<endrec>
"15037","11902","1","A","937481655"<endrec>
"15037","11902","1","A","937510057"<endrec>
"15037","11902","1","A","937510059"<endrec>
"15042","12001","2","A","937496835"<endrec>
"15042","12001","2","A","937509995"<endrec>
"15062","12001","2","A","937612766"<endrec>
"15045","12301","2","A","937531726"<endrec>
"3001","22201","1","A","937707768"<endrec>
"3001","22201","1","A","937707800"<endrec>
"2001","22202","2","A","937707776"<endrec>
"2001","22202","1","A","937707778"<endrec>
"2001","22202","2","A","937707785"<endrec>
"15076","22203","2","A","937707780"<endrec>
