CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LIMIT_ACCU_CONDITION_FLAG,LIMIT_EXPRESSION_ID,LIMIT_PATTERN,LIMIT_TYPE_ID,LIMIT_TYPE_NAME,STATUS,THRESHOLD_TYPE,TRANSACTION_ROLE_TYPE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"203000000000010005","2014-03-26 05:21:37.775000","Maximum Customer Pay Utility Transaction Value","203000000000014909","2016-12-15 09:18:40.117000","","","0","1014000","Maximum Customer Pay Utility Transaction Value","50","0","C","30004036"<endrec>
"203000000000010005","2014-03-26 05:26:22.536000","Minimum Customer Pay Utility Transaction Value","203000000000014909","2016-12-15 09:37:56.807000","","","1","1015000","Minimum Customer Pay Utility Transaction Value","50","0","C","30004040"<endrec>
"203000000000010005","2014-03-26 05:32:55.833000","Maximum Business Customer Utility Transfer To MMF Account Value","203000000000010005","2014-03-26 05:33:01.036000","","","0","1016000","Maximum Business Customer Utility Transfer To MMF Account Value","30","0","D","30004044"<endrec>
"203000000000010005","2014-03-26 05:34:47.368000","Minimum Business Customer Utility Transfer To MMF Account Value","203000000000010005","2014-03-26 05:34:56.815000","","","1","1017000","Minimum Business Customer Utility Transfer To MMF Account Value","30","0","D","30004046"<endrec>
"203000000000010005","2014-03-26 05:35:20.333000","Minimum Business Customer Utility Balance ","203000000000010005","2014-03-26 05:35:44.523000","","","1","1018000","Minimum Business Customer Utility Balance ","30","1","D","30004047"<endrec>
"203000000000010005","2014-03-26 05:35:36.551000","Maximum Business Customer Utility Balance ","203000000000010005","2014-03-26 05:35:40.486000","","","0","1019000","Maximum Business Customer Utility Balance ","30","1","C","30004048"<endrec>
"203000000000010005","2014-03-26 05:40:31.294000","Maximum Business Customer Utility Daily Transfer","203000000000010005","2014-03-26 05:40:36.404000","","","0","1020000","Maximum Business Customer Utility Daily Transfer","30","2","D","30004052"<endrec>
"203000000000010005","2014-03-26 05:48:47.981000","Maximum Salary Payment To Unregistered Customer","203000000000010005","2014-03-26 05:48:57.497000","","","0","1021000","Maximum Salary Payment To Unregistered Customer","30","0","D","30004055"<endrec>
"203000000000010005","2014-03-26 05:52:26.615000","Minimum Salary Payment To Unregistered Customer","203000000000010005","2014-03-26 05:52:32.908000","","","1","1022000","Minimum Salary Payment To Unregistered Customer","30","0","D","30004058"<endrec>
"203000000000010005","2014-03-26 05:54:44.751000","Maximum Promotion Payment To Unregistered Customer","203000000000010005","2014-03-26 05:54:51.295000","","","0","1023000","Maximum Promotion Payment To Unregistered Customer","30","0","D","30004060"<endrec>
"203000000000010005","2014-03-26 05:56:02.375000","Minimum Promotion Payment To Unregistered Customer","203000000000010005","2014-03-26 05:56:08.564000","","","1","1024000","Minimum Promotion Payment To Unregistered Customer","30","0","D","30004062"<endrec>
"203000000000010005","2014-03-26 07:14:51.342000","Maximum Salary Payment","203000000000010005","2014-03-26 07:15:03.274000","","","0","1025000","Maximum Salary Payment","30","0","D","30004064"<endrec>
"203000000000010005","2014-03-26 07:18:05.471000","Minimum Salary Payment","203000000000010005","2014-03-26 07:18:12.591000","","","1","1026000","Minimum Salary Payment","30","0","D","30004066"<endrec>
"203000000000010005","2014-03-26 07:21:58.960000","Maximum Business Payment To Customer","203000000000010005","2014-03-26 07:22:04.745000","","","0","1027000","Maximum Business Payment To Customer","30","0","D","30004068"<endrec>
"203000000000010005","2014-03-26 07:23:21.591000","Minimum Business Payment To Customer","203000000000010005","2014-03-26 07:23:28.804000","","","1","1028000","Minimum Business Payment To Customer","30","0","D","30004070"<endrec>
"203000000000010005","2014-03-26 07:25:59.297000","Maximum Business Payment To Customer Withdrawal Charge Paid","203000000000010005","2014-03-26 07:26:05.109000","","","0","1029000","Maximum Business Payment To Customer Withdrawal Charge Paid","30","0","D","30004072"<endrec>
"203000000000010005","2014-03-26 07:27:14.841000","Minimum Business Payment To Customer Withdrawal Charge Paid","203000000000010005","2014-03-26 07:27:25.717000","","","1","1030000","Minimum Business Payment To Customer Withdrawal Charge Paid","30","0","D","30004074"<endrec>
"203000000000010005","2014-03-26 07:29:48.170000","Maximum Pay Dividend to Registered User","203000000000010005","2014-03-26 07:29:55.284000","","","0","1031000","Maximum Pay Dividend to Registered User","30","0","D","30004076"<endrec>
"203000000000010005","2014-03-26 07:30:55.406000","Minimum Pay Dividend to Registered User","203000000000010005","2014-03-26 07:31:00.339000","","","1","1032000","Minimum Pay Dividend to Registered User","30","0","D","30004078"<endrec>
"203000000000010005","2014-03-26 07:49:33.077000","Maximum Promotion Payment","203000000000010005","2014-03-26 07:49:40.916000","","","0","1033000","Maximum Promotion Payment","30","0","D","30004081"<endrec>
"203000000000010005","2014-03-26 07:50:37.683000","Minimum Promotion Payment","203000000000010005","2014-03-26 07:50:44.581000","","","1","1034000","Minimum Promotion Payment","30","0","D","30004084"<endrec>
"203000000000010005","2014-03-26 07:53:08.686000","Maximum Salary payment withdrawal charge paid","203000000000010005","2014-03-26 07:53:14.481000","","","0","1035000","Maximum Salary payment withdrawal charge paid","30","0","D","30004086"<endrec>
"203000000000010005","2014-03-26 07:54:24.168000","Minimum Salary payment withdrawal charge paid","203000000000010005","2014-03-26 07:55:08.257000","","","1","1036000","Minimum Salary payment withdrawal charge paid","30","0","D","30004088"<endrec>
"203000000000010005","2014-03-26 07:57:04.796000","Maximum Transfer From Bank To Customer","203000000000010005","2014-03-26 07:57:10.958000","","","0","1037000","Maximum Transfer From Bank To Customer","30","0","D","30004090"<endrec>
"203000000000010005","2014-03-26 07:58:25.098000","Minimum Transfer From Bank To Customer","203000000000010005","2014-03-26 07:58:33.804000","","","1","1038000","Minimum Transfer From Bank To Customer","30","0","D","30004092"<endrec>
