BUSINESS_SCOPE,CHARGE_CATEGORY_TYPE,CHARGE_CREDIT_PARTY_MESSAGE,CHARGE_DEBIT_PARTY_MESSAGE,CHARGE_PAYER,CHARGE_PROFILE_FROMS,CHARGE_RECEIVER,CHARGE_TYPE_DESCRIPTION,CHARGE_TYPE_ID,CHARGE_TYPE_NAME,CHARGING_MODE,CREATE_OPER_ID,CREATE_OPER_TIME,DYNAMIC_VALUE,EFFECTIVE_MODE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NEED_ALTERNATIVE_CHARGE,PRINCIPLE_TYPE,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"2","1","FSI Loan Repayment Charge By Organization","FSI Loan Repayment Charge By Organization","1003","1004","1005","FSI Loan Repayment Charge By Organization","10000081","FSI Loan Repayment Charge By Organization","","203000000000010063","2014-10-01 11:31:41.995000","","0","203000000000010063","2014-10-01 11:34:49.985000","","0","20047","30","30099708"<endrec>
"2","1","FSI Withdraw Charge By Organization","FSI Withdraw Charge By Organization","1004","1003","1005","FSI Withdraw Charge By Organization","10000082","FSI Withdraw Charge By Organization","","203000000000010063","2014-10-01 11:32:28.265000","","0","203000000000010063","2014-10-01 11:35:14.892000","","0","20051","30","30099710"<endrec>
"3","1","FI Organization Savings Client Statement Request Charge","FI Organization Savings Client Statement Request Charge","1001","1001","1005","FSI Statement Request Charge","10000083","FSI Statement Request Charge","","203000000000010063","2014-10-01 12:10:33.275000","","0","203000000000010063","2014-10-01 12:10:56.288000","","0","29","30","30099733"<endrec>
"2","1","FSI Loan Disbursement Charge","FSI Loan Disbursement Charge","1004","1003","1005","FSI Loan Disbursement Charge","10000084","FSI Loan Disbursement Charge","","203000000000010133","2014-10-02 15:05:14.268000","","0","203000000000010133","2014-10-02 15:05:18.661000","","0","20048","30","30099811"<endrec>
"2","1","Savings Client Insurance Request Charge","Savings Client Insurance Request Charge","1004","1004","1005","Savings Client Insurance Request Charge","10000086","Savings Client Insurance Request Charge","","203000000000010133","2014-10-02 15:27:12.884000","","0","203000000000010133","2014-10-02 15:27:17.450000","","0","20050","30","30099813"<endrec>
"2","1","Savings Client Withdrawal Request Charge","Savings Client Withdrawal Request Charge","1004","1003","1005","Savings Client Withdrawal Request Charge","10000087","Savings Client Withdrawal Request Charge","","203000000000010133","2014-10-02 15:55:18.295000","","0","203000000000010164","2014-12-08 19:48:36.512000","","0","20051","50","30099817"<endrec>
"2","1","Savings Client Final Payout Charge","Savings Client Final Payout Charge","1004","1003","1005","Savings Client Final Payout Charge","10000088","Savings Client Final Payout Charge","","203000000000010133","2014-10-02 16:00:42.967000","","0","203000000000010133","2014-10-02 16:00:57.535000","","0","20049","30","30099819"<endrec>
"3","1","Savings Client Statement Request Charge","Savings Client Statement Request Charge","1001","1002","1005","Savings Client Statement Request Charge","10000089","Savings Client Statement Request Charge","","203000000000010133","2014-10-02 16:05:14.052000","","0","203000000000010133","2014-10-02 16:15:43.051000","","0","29","30","30099822"<endrec>
"2","1","Business Pay Bill Charge","Business Pay Bill Charge","1004","1003","1005","Business Pay Bill Charge","10000090","Business Pay Bill Charge","","203000000000010133","2014-10-06 17:46:11.183000","","0","203000000000010063","2014-10-06 17:47:46.631000","","0","20003","30","30100667"<endrec>
"2","1","Business Buy Goods Charge","Business Buy Goods Charge","1004","1003","1005","Business Buy Goods Charge","10000091","Business Buy Goods Charge","","203000000000010133","2014-10-06 17:46:28.464000","","0","203000000000025034","2018-02-28 09:51:04.727000","","0","20003","50","30100668"<endrec>
"2","1","Disbursement of Funds Charge","Disbursement of Funds Charge","1004","1003","1005","Disbursement of Funds Charge","10000092","Disbursement of Funds Charge","","203000000000010133","2014-10-06 17:46:49.816000","","0","203000000000010063","2014-10-06 17:47:55.049000","","0","20003","30","30100669"<endrec>
"2","1","Credit Client Online Credit Request Charge","Credit Client Online Credit Request Charge","1004","1003","1005","Credit Client Online Credit Request Charge","10000094","Credit Client Online Credit Request Charge","","203000000000010133","2014-10-10 11:04:04.273000","","0","203000000000010133","2014-10-10 11:04:09.848000","","0","20048","30","30103803"<endrec>
