ACCOUNT_TYPE,CURRENCY,FIXED_AMOUNT,FUNDING_SOURCE,LIABILITY_ORDER,LOAD_DATA_TS,MAX_MIN_BALANCE_TRIGGER,REASON_INDEX,SETTLEMENT_ACCOUNT_TYPE,SETTLEMENT_ACCOUNT_TYPE_ORDER,SETTLEMENT_DETAIL_ID,SETTLEMENT_PROFILE_UNIQUE_ID,SETTLEMENT_TRIGGER_BALANCE,SETTLEMENT_TYPE,TARGET_BALANCE,TRIGGER_SWITCH,TXN_INDEX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <endrec>
"10011","TZS","","","","","0","10000232","10089","1","252","30071539","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","253","30071539","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","254","30071539","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","255","30076486","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","256","30076486","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","257","30076486","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","258","30076486","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","259","30076486","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","260","30071541","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","261","30071541","","4","0","0","20039"<endrec>
"10022","TZS","","","","","1","10000227","10089","","262","30071541","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","263","30071541","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","264","30071542","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","265","30071542","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","266","30071542","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","267","30071542","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","268","30071540","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","269","30071540","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","270","30071540","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","271","30071540","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","272","30076488","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","273","30076488","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","274","30076488","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","275","30076488","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","276","30076488","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","277","30071543","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","278","30071543","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","279","30071543","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","280","30071543","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","281","30076487","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","282","30076487","","4","0","0","20039"<endrec>
"10015","TZS","","","","","0","10000226","10089","1","283","30076487","0","1","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","1","284","30076487","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","285","30076487","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","286","30104818","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","287","30104818","","4","0","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","288","30104818","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","1","289","30104818","0","1","500000000","0","20039"<endrec>
"10138","TZS","","","1","","0","10000321","10089","","290","30104818","","2","1500000000","0","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","291","30104818","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","292","30104821","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","293","30104821","","4","0","0","20039"<endrec>
"10017","TZS","","","","","0","10000322","10089","","294","30104821","0","1","1500000000","0","20039"<endrec>
"10135","TZS","","","1","","0","10000323","10089","1","295","30104821","-2000000000","2","0","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","300","30104826","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","301","30104826","","4","0","0","20039"<endrec>
"10017","TZS","","","","","0","10000322","10089","","302","30104826","2000000000","1","1000000000","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","303","30104826","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","304","30105835","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","305","30105835","","4","0","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","306","30105835","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","","307","30105835","0","1","50000000","0","20039"<endrec>
"10138","TZS","","","1","","0","10000321","10089","","308","30105835","500000000","2","1500000000","1","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","309","30105835","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","314","30120116","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","315","30120116","","4","0","0","20039"<endrec>
"10152","TZS","","","","","0","10000349","10089","","316","30120116","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","317","30120116","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","318","30129091","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","319","30129091","","4","0","0","20039"<endrec>
"10152","TZS","","","","","0","10000349","10089","","320","30129091","0","1","0","0","20039"<endrec>
"10027","TZS","","","","","0","10000351","10089","1","321","30129091","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","322","30129091","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","323","30130077","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","324","30130077","","4","0","0","20039"<endrec>
"10015","TZS","","","","","1","10000226","10089","1","325","30130077","1000000000","1","0","1","20039"<endrec>
"10022","TZS","","","","","1","10000227","10089","1","326","30130077","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","327","30130077","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","328","30130078","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","329","30130078","","4","0","0","20039"<endrec>
"10015","TZS","","","","","1","10000226","10089","1","330","30130078","1000000000","1","0","1","20039"<endrec>
"10022","TZS","","","","","1","10000227","10089","1","331","30130078","1000000000","1","0","1","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","332","30130078","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","350","30178488","","3","-10000000000","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","351","30178488","","4","-10000000000","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","352","30178488","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","","353","30178488","0","1","50000000","0","20039"<endrec>
"10138","TZS","","","1","","0","10000321","10089","","354","30178488","500000000","2","1500000000","1","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","355","30178488","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","356","30178492","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","357","30178492","","4","0","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","358","30178492","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","","359","30178492","0","1","50000000","0","20039"<endrec>
"10138","TZS","","","1","2016-05-31 00:00:00.000000","0","10000321","10089","","360","30178492","500000000","2","1500000000","1","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","361","30178492","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","362","30178503","","3","-9000000000","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","363","30178503","","4","-9000000000","0","20039"<endrec>
"10136","TZS","","","","","0","10000318","10089","1","364","30178503","0","1","500000000","0","20039"<endrec>
"10139","TZS","","","","","0","10000319","10089","","365","30178503","0","1","50000000","0","20039"<endrec>
"10138","TZS","","","1","","0","10000321","10089","","366","30178503","500000000","2","1500000000","1","20039"<endrec>
"10140","TZS","","","2","","0","10000320","10089","1","367","30178503","2000000000","2","2500000000","1","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","369","937150114","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","370","937150114","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","371","937150114","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","372","937150114","0","2","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000230","10089","1","373","937150115","","3","0","0","20039"<endrec>
"10011","TZS","","","","","0","10000232","10089","1","374","937150115","","4","0","0","20039"<endrec>
"10022","TZS","","","","","0","10000227","10089","","375","937150115","0","1","0","0","20039"<endrec>
"10016","TZS","","","1","","0","10000229","10089","1","376","937150115","0","2","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000230","10089","1","378","937197665","","3","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000232","10089","1","379","937197665","","4","0","0","20039"<endrec>
"10022","TZS","","1","","","0","10000227","10089","1","380","937197665","0","1","0","0","20039"<endrec>
"10016","TZS","","1","1","","0","10000229","10089","1","381","937197665","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","1","","","0","10000230","10089","1","386","937197666","","3","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000232","10089","1","387","937197666","","4","0","0","20039"<endrec>
"10015","TZS","","1","","","0","10000226","10089","1","388","937197666","0","1","0","0","20039"<endrec>
"10016","TZS","","1","1","","0","10000229","10089","1","389","937197666","-100000000","2","0","1","20039"<endrec>
"10011","TZS","","1","","","0","10000230","10089","1","390","937197667","","3","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000232","10089","1","391","937197667","","4","0","0","20039"<endrec>
"10015","TZS","","1","","","0","10000226","10089","1","392","937197667","0","1","0","0","20039"<endrec>
"10022","TZS","","1","","","0","10000227","10089","1","393","937197667","0","1","0","0","20039"<endrec>
"10016","TZS","","1","1","","0","10000229","10089","1","394","937197667","0","2","-100000000","0","20039"<endrec>
"10011","TZS","","1","","","0","10000230","10089","1","395","937197668","","3","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000232","10089","1","396","937197668","","4","0","0","20039"<endrec>
"10022","TZS","","1","","","0","10000227","10089","1","397","937197668","0","1","0","0","20039"<endrec>
"10016","TZS","","1","1","","0","10000229","10089","1","398","937197668","","2","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000230","10089","1","399","937197669","","3","0","0","20039"<endrec>
"10011","TZS","","1","","","0","10000232","10089","1","400","937197669","","4","0","0","20039"<endrec>
"10015","TZS","","1","","","0","10000226","10089","1","401","937197669","0","1","0","0","20039"<endrec>
"10016","TZS","","1","1","","0","10000229","10089","1","402","937197669","0","2","0","0","20039"<endrec>
