ERROR_CODE,IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"GV50113","1","104000000000000391","CreateReminderSchedule","9999","01","0"<endrec>
"IC13200","1","107000000000002064","CreateCustomer","1001","01","0"<endrec>
"IC13200","1","107000000000002064","UpgradeCustomer","1001","01","0"<endrec>
"IC14004","1","107000000000008046","ActivateOrgOperatorSIM","1001","01","0"<endrec>
"IC14004","1","107000000000002160","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"IC14004","1","107000000000040058","CCHResetCustPIN","1001","01","0"<endrec>
"IC14004","1","107000000000008046","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC14004","1","107000000000008046","CreateCustomer","1001","01","0"<endrec>
"IC14004","1","107000000000008046","CreateOrgOperator","1001","01","0"<endrec>
"IC14004","1","107000000000008046","UpgradeCustomer","1001","01","0"<endrec>
"IC19303","1","107000000000002067","ActivateCust","1001","01","0"<endrec>
"IC40036","1","102000000000000099","AddCustomerBeneficiary","9999","01","0"<endrec>
"IC40036","1","208000000000028238","AddOrgBeneficiary","9999","01","0"<endrec>
"IC40036","1","102000000000000099","DeleteCustomerBeneficiary","9999","01","0"<endrec>
"IC40036","1","208000000000028238","DeleteOrgBeneficiary","9999","01","0"<endrec>
"IC40066","1","107000000000002149","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40066","1","107000000000002134","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40112","1","107000000000002149","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40135","1","102000000000000098","CCHChangeCustKYC","1001","01","0"<endrec>
"IC40135","1","107000000000002165","CCHIdentifyCustomer","1001","01","0"<endrec>
"IC40135","1","102000000000000098","CCHResetCustPIN","1001","01","0"<endrec>
"IC40135","1","102000000000000098","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40136","1","107000000000002139","CCHResetCustPIN","1001","01","0"<endrec>
"IC40136","1","107000000000002060","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40136","1","107000000000002146","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40136","1","107000000000002132","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40137","1","107000000000002140","CCHResetCustPIN","1001","01","0"<endrec>
"IC40137","1","107000000000002062","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40137","1","107000000000002147","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40137","1","107000000000002133","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40137","1","102000000000000105","CustomerGetStartPIN","1001","01","0"<endrec>
"IC40138","1","107000000000034032","CCHChangeCustKYC","1001","01","0"<endrec>
"IC40138","1","107000000000002164","CCHIdentifyCustomer","1001","01","0"<endrec>
"IC40138","1","107000000000002158","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"IC40138","1","104000000000000404","CCHResetCustPIN","9999","01","0"<endrec>
"IC40138","1","107000000000034033","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40138","1","107000000000034032","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40138","1","107000000000034033","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40139","1","102000000000000118","CCHChangeCustKYC","1001","01","0"<endrec>
"IC40140","1","102000000000000099","CCHChangeCustKYC","9999","01","0"<endrec>
"IC40140","1","107000000000002129","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40141","1","102000000000000109","CCHChangeCustKYC","1001","01","0"<endrec>
"IC40141","1","102000000000000109","CCHResetCustPIN","1001","01","0"<endrec>
"IC40141","1","107000000000002136","CCHResetCustPIN","1001","02","0"<endrec>
"IC40141","1","102000000000000113","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40141","1","102000000000000109","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40141","1","102000000000000113","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40142","1","102000000000000119","CCHChangeCustKYC","1001","01","0"<endrec>
"IC40142","1","102000000000000119","CCHIdentifyCustomer","1001","01","0"<endrec>
"IC40142","1","107000000000002159","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"IC40142","1","102000000000000119","CCHResetCustPIN","1001","01","0"<endrec>
"IC40142","1","102000000000000119","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40142","1","102000000000000119","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40164","1","107000000000002046","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"IC40164","1","107000000000002076","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40189","1","107000000000024035","ChangeCustLanguage","1001","01","0"<endrec>
"IC40189","1","107000000000024035","ChangeTillLanguage","1001","01","0"<endrec>
"IC40210","1","107000000000002064","ActivateCust","1001","01","0"<endrec>
"IC40213","1","107000000000023039","ActivateCust","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ActivateCust","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ActivateOperator","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ActiveFSIKCBProducts","1001","01","0"<endrec>
"IC40249","1","107000000000008037","ActiveFSIProducts","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CCHChangeCustKYC","1001","01","0"<endrec>
