ENTITY_ID,ENTITY_TYPE,LOAD_DATA_TS,UNIQUE_ID,VERSION_NUMBER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"102000000000000095","NOTIFICATION_TYPE","","10200095","1"<endrec>
"102000000000000096","NOTIFICATION_TYPE","","10200096","1"<endrec>
"102000000000000097","NOTIFICATION_TYPE","","10200097","1"<endrec>
"102000000000000098","NOTIFICATION_TYPE","","10200098","1"<endrec>
"102000000000000099","NOTIFICATION_TYPE","","10200099","1"<endrec>
"102000000000000100","NOTIFICATION_TYPE","","10200100","1"<endrec>
"102000000000000101","NOTIFICATION_TYPE","","10200101","1"<endrec>
"102000000000000102","NOTIFICATION_TYPE","","10200102","1"<endrec>
"102000000000000103","NOTIFICATION_TYPE","","10200103","1"<endrec>
"102000000000000104","NOTIFICATION_TYPE","","10200104","1"<endrec>
"102000000000000105","NOTIFICATION_TYPE","","10200105","1"<endrec>
"102000000000000106","NOTIFICATION_TYPE","","10200106","1"<endrec>
"102000000000000107","NOTIFICATION_TYPE","","10200107","1"<endrec>
"102000000000000108","NOTIFICATION_TYPE","","10200108","1"<endrec>
"102000000000000109","NOTIFICATION_TYPE","","10200109","1"<endrec>
"102000000000000110","NOTIFICATION_TYPE","","10200110","1"<endrec>
"102000000000000111","NOTIFICATION_TYPE","","10200111","1"<endrec>
"102000000000000112","NOTIFICATION_TYPE","","10200112","1"<endrec>
"102000000000000113","NOTIFICATION_TYPE","","10200113","1"<endrec>
"102000000000000115","NOTIFICATION_TYPE","","10200115","1"<endrec>
"102000000000000116","NOTIFICATION_TYPE","","10200116","1"<endrec>
"102000000000000117","NOTIFICATION_TYPE","","10200117","1"<endrec>
"102000000000000118","NOTIFICATION_TYPE","","10200118","1"<endrec>
"102000000000000119","NOTIFICATION_TYPE","","10200119","1"<endrec>
"103000000000000001","NOTIFICATION_TYPE","","10300001","1"<endrec>
"103000000000000002","NOTIFICATION_TYPE","","10300002","1"<endrec>
"103000000000000003","NOTIFICATION_TYPE","","10300003","1"<endrec>
"103000000000000004","NOTIFICATION_TYPE","","10300004","1"<endrec>
"103000000000000005","NOTIFICATION_TYPE","","10300005","1"<endrec>
"103000000000000006","NOTIFICATION_TYPE","","10300006","1"<endrec>
"103000000000000007","NOTIFICATION_TYPE","","10300007","1"<endrec>
"103000000000000008","NOTIFICATION_TYPE","","10300008","1"<endrec>
"103000000000000009","NOTIFICATION_TYPE","","10300009","1"<endrec>
"103000000000000010","NOTIFICATION_TYPE","","10300010","1"<endrec>
"103000000000000011","NOTIFICATION_TYPE","","10300011","1"<endrec>
"103000000000000012","NOTIFICATION_TYPE","","10300012","1"<endrec>
"103000000000000013","NOTIFICATION_TYPE","","10300013","1"<endrec>
"103000000000000014","NOTIFICATION_TYPE","","10300014","1"<endrec>
"103000000000000015","NOTIFICATION_TYPE","","10300015","1"<endrec>
"103000000000000016","NOTIFICATION_TYPE","","10300016","1"<endrec>
"103000000000000017","NOTIFICATION_TYPE","","10300017","1"<endrec>
"103000000000000018","NOTIFICATION_TYPE","","10300018","1"<endrec>
"103000000000000019","NOTIFICATION_TYPE","","10300019","1"<endrec>
"103000000000000020","NOTIFICATION_TYPE","","10300020","1"<endrec>
"103000000000000021","NOTIFICATION_TYPE","","10300021","1"<endrec>
"103000000000000022","NOTIFICATION_TYPE","","10300022","1"<endrec>
"103000000000000023","NOTIFICATION_TYPE","","10300023","1"<endrec>
"103000000000000024","NOTIFICATION_TYPE","","10300024","1"<endrec>
"103000000000000025","NOTIFICATION_TYPE","","10300025","1"<endrec>
"103000000000000026","NOTIFICATION_TYPE","","10300026","1"<endrec>
"103000000000000027","NOTIFICATION_TYPE","","10300027","1"<endrec>
"103000000000000028","NOTIFICATION_TYPE","","10300028","1"<endrec>
"103000000000000029","NOTIFICATION_TYPE","","10300029","1"<endrec>
"103000000000000030","NOTIFICATION_TYPE","","10300030","1"<endrec>
"103000000000000031","NOTIFICATION_TYPE","","10300031","1"<endrec>
"103000000000000034","NOTIFICATION_TYPE","","10300034","1"<endrec>
"103000000000000035","NOTIFICATION_TYPE","","10300035","1"<endrec>
"103000000000000036","NOTIFICATION_TYPE","","10300036","1"<endrec>
"103000000000000037","NOTIFICATION_TYPE","","10300037","1"<endrec>
"103000000000000038","NOTIFICATION_TYPE","","10300038","1"<endrec>
"103000000000000039","NOTIFICATION_TYPE","","10300039","1"<endrec>
"103000000000000043","NOTIFICATION_TYPE","","10300043","1"<endrec>
"103000000000000044","NOTIFICATION_TYPE","","10300044","1"<endrec>
"103000000000000045","NOTIFICATION_TYPE","","10300045","1"<endrec>
"103000000000000046","NOTIFICATION_TYPE","","10300046","1"<endrec>
"103000000000000047","NOTIFICATION_TYPE","","10300047","1"<endrec>
"103000000000000048","NOTIFICATION_TYPE","","10300048","1"<endrec>
"103000000000000049","NOTIFICATION_TYPE","","10300049","1"<endrec>
"103000000000000050","NOTIFICATION_TYPE","","10300050","1"<endrec>
"103000000000000053","NOTIFICATION_TYPE","","10300053","1"<endrec>
"104000000000000002","NOTIFICATION_TYPE","","10400002","1"<endrec>
"105000000000000001","NOTIFICATION_TYPE","","10500001","1"<endrec>
"105000000000000002","NOTIFICATION_TYPE","","10500002","1"<endrec>
"105000000000000003","NOTIFICATION_TYPE","","10500003","1"<endrec>
"105000000000000004","NOTIFICATION_TYPE","","10500004","1"<endrec>
"105000000000000005","NOTIFICATION_TYPE","","10500005","1"<endrec>
"105000000000000006","NOTIFICATION_TYPE","","10500006","1"<endrec>
"105000000000000007","NOTIFICATION_TYPE","","10500007","1"<endrec>
"105000000000000008","NOTIFICATION_TYPE","","10500008","1"<endrec>
"106000000000000001","NOTIFICATION_TYPE","","10600001","1"<endrec>
"106000000000000002","NOTIFICATION_TYPE","","10600002","1"<endrec>
"106000000000000003","NOTIFICATION_TYPE","","10600003","1"<endrec>
"106000000000000004","NOTIFICATION_TYPE","","10600004","1"<endrec>
"106000000000000033","NOTIFICATION_TYPE","","10600033","1"<endrec>
"106000000000000040","NOTIFICATION_TYPE","","10600040","1"<endrec>
"106000000000000041","NOTIFICATION_TYPE","","10600041","1"<endrec>
"106000000000000042","NOTIFICATION_TYPE","","10600042","1"<endrec>
"106000000000000051","NOTIFICATION_TYPE","","10600051","1"<endrec>
"106000000000000052","NOTIFICATION_TYPE","","10600052","1"<endrec>
"102000000000000067","NOTIFICATION_TYPE","","11011","1"<endrec>
"107000000000001002","NOTIFICATION_TYPE","","13004","1"<endrec>
"10001","ACCOUNT_TYPE","","20003","5"<endrec>
"10011","ACCOUNT_TYPE","","20004","1"<endrec>
"10013","ACCOUNT_TYPE","","20007","1"<endrec>
"10000002","CHARGE_TYPE","","20008","1"<endrec>
"20001","TRANSACTION_TYPE","","20009","16"<endrec>
"20100000000010001","OUTBOUND_RECEIVER","","2001","1"<endrec>
"20001","TRANSACTION_TYPE","","20010","15"<endrec>
"20003","TRANSACTION_TYPE","","20015","8"<endrec>
"20100000000010002","OUTBOUND_RECEIVER","","2002","1"<endrec>
"10000003","CHARGE_TYPE","","20025","1"<endrec>
"10014","ACCOUNT_TYPE","","20026","8"<endrec>
"10000004","CHARGE_TYPE","","20030","3"<endrec>
"10015","ACCOUNT_TYPE","","20035","1"<endrec>
