ACCOUNT_TYPE,ACCUMULATING_SUBJECT,ACCUMULATING_TYPE,ACCUMULATOR_ID,ADDITIONAL_CONDITION,APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CYCLES_OF_VALUE_STORAGE,CYCLE_TYPE,DAYS_OF_VALUE_STORAGE,DESCRIPTION,EXPIREDATE,FAILURE_ACTION,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOCK_RETRY_INTERVAL_1,LOCK_RETRY_INTERVAL_2,LOCK_RETRY_TIMES_1,LOCK_RETRY_TIMES_2,LOCK_TYPE,NAME,SATURATION_ACTION,SATURATION_AMOUNT,SATURATION_COUNT,STATUS,SUPPORT_ROLLBACK,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"-1","11","1","11501","","2017-03-15 00:00:00.000000","203000000000015725","2017-03-15 06:58:56.000000","TZS","1","1","-1","","2017-08-02 00:00:00.000000","","5000","203000000000015725","2017-03-15 06:59:14.802000","","","","","0","OrgBuyAirTime","1","","","30","1","937287830"<endrec>
"-1","11","1","11601","","2017-03-16 00:00:00.000000","203000000000010811","2017-03-16 13:22:52.000000","TZS","1","0","15","","2031-08-12 00:00:00.000000","","5000","203000000000010811","2017-03-16 13:23:07.917000","","","","","0","OrgVolume1","1","","","30","1","937288830"<endrec>
"-1","11","2","11602","","2017-03-16 00:00:00.000000","203000000000010811","2017-03-16 13:38:13.000000","TZS","1","0","15","","2031-08-12 00:00:00.000000","","5000","203000000000010811","2017-03-16 13:38:30.049000","","","","","0","OrgVolume2","1","","","30","1","937288832"<endrec>
"-1","11","1","12001","","2017-05-25 00:00:00.000000","203000000000020211","2017-05-25 12:36:52.000000","TZS","30","1","-1","","2020-05-31 00:00:00.000000","","1000","203000000000020211","2017-05-25 12:37:01.037000","","","","","0","DynamicSendMoney_test","1","","","30","1","937347909"<endrec>
"-1","11","2","12201","","2017-06-12 00:00:00.000000","203000000000018910","2017-06-12 12:20:45.000000","TZS","1","1","-1","Aux_conut","2017-06-14 00:00:00.000000","","1000","203000000000018910","2017-06-14 07:09:08.276000","","","","","0","Aux_conut","1","","","50","1","937356923"<endrec>
"-1","11","1","10901","","2017-06-14 00:00:00.000000","203000000000018910","2017-06-14 07:04:50.000000","TZS","1","1","-1","Accumulator_Amount","2018-06-18 00:00:00.000000","","1000","203000000000016349","2018-06-18 09:05:23.111000","","","","","0","Accumulator_Amount","1","","","50","1","937357998"<endrec>
"-1","11","2","12201","","2017-06-14 00:00:00.000000","203000000000018910","2017-06-14 07:08:47.000000","TZS","1","1","-1","Aux_conut","2017-06-14 00:00:00.000000","","1000","203000000000018910","2017-06-14 11:03:48.894000","","","","","0","Aux_conut","1","","","50","1","937357999"<endrec>
"-1","11","2","12201","","2017-06-14 00:00:00.000000","203000000000018910","2017-06-14 11:03:25.000000","TZS","1","1","-1","Aux_conut","2017-06-15 00:00:00.000000","","1000","203000000000018910","2017-06-15 07:43:59.735000","","","","","0","Aux_conut","1","","","50","1","937358033"<endrec>
"-1","11","2","12201","","2017-06-15 00:00:00.000000","203000000000018910","2017-06-15 07:43:49.000000","TZS","1","1","-1","Aux_conut","2017-06-15 00:00:00.000000","","1000","203000000000018910","2017-06-15 08:41:52.294000","","","","","0","Aux_conut","1","","","50","1","937359002"<endrec>
"-1","11","2","12201","","2017-06-15 00:00:00.000000","203000000000018910","2017-06-15 08:41:42.000000","TZS","1","1","-1","Aux_conut","2017-08-10 00:00:00.000000","","1000","203000000000018910","2017-08-10 06:34:32.082000","","","","","0","Aux_conut","1","","","50","1","937359010"<endrec>
"-1","11","2","12201","","2017-08-10 00:00:00.000000","203000000000018910","2017-06-15 08:43:59.000000","TZS","1","1","-1","Aux_conut","2017-08-10 00:00:00.000000","","1000","203000000000018910","2017-08-10 07:20:04.165000","","","","","0","Aux_conut","1","","","50","1","937359011"<endrec>
"-1","11","2","12301","","2017-06-28 00:00:00.000000","203000000000010806","2017-06-28 12:05:13.000000","TZS","1","0","20","","2017-11-29 00:00:00.000000","","1000","203000000000010806","2017-11-29 11:42:27.168000","","","","","0","Acc_5351","","","200","50","1","937366331"<endrec>
"-1","11","2","12201","","2017-08-10 00:00:00.000000","203000000000018910","2017-08-10 07:19:38.000000","TZS","1","1","-1","Aux_conut","2017-08-31 00:00:00.000000","","1000","203000000000019121","2017-08-31 11:01:35.603000","","","","","0","Aux_conut","1","","","50","1","937384555"<endrec>
"-1","11","2","12201","","2017-08-31 00:00:00.000000","203000000000019121","2017-08-31 11:01:13.000000","TZS","1","1","-1","Aux_conut","2017-08-31 00:00:00.000000","","1000","203000000000019121","2017-08-31 11:04:38.370000","","","","","0","Aux_conut","1","","","50","1","937396934"<endrec>
"-1","11","2","12201","","2017-08-31 00:00:00.000000","203000000000019121","2017-08-31 11:04:16.000000","TZS","1","1","-1","Aux_conut","2017-09-25 00:00:00.000000","","1000","203000000000018910","2017-09-25 10:27:28.586000","","","","","0","Aux_conut","1","","","50","1","937396935"<endrec>
"-1","11","2","12501","","2017-08-31 00:00:00.000000","203000000000019121","2017-08-31 11:36:06.000000","TZS","1","1","-1","Aux_test","2059-06-15 00:00:00.000000","","1000","203000000000019121","2017-08-31 11:36:43.613000","","","","","0","Aux_test","1","","","30","1","937396938"<endrec>
"-1","11","2","12602","","2017-09-14 00:00:00.000000","203000000000019121","2017-09-14 07:51:15.000000","TZS","1","1","-1","Aux_testorg","2018-01-10 00:00:00.000000","","5000","203000000000015728","2018-01-10 11:58:06.796000","","","","","0","Aux_testorg","1","","","50","1","937408015"<endrec>
"-1","21","3","12701","","2017-09-19 00:00:00.000000","203000000000015702","2017-09-19 13:10:55.000000","-1","1","1","-1","ConfiguredAccumulator_Action","2017-09-25 00:00:00.000000","","1000","203000000000015702","2017-09-19 13:14:51.436000","","","","","0","ConfiguredAccumulator_Action","1","","","30","1","937411126"<endrec>
"-1","11","1","12802","","2017-09-22 00:00:00.000000","203000000000019121","2017-09-22 09:26:20.000000","TZS","1","1","-1","Accumulator_Value1","2050-08-01 00:00:00.000000","","5000","203000000000019121","2017-09-22 09:26:33.682000","","","","","0","Accumulator_Value1","1","","","30","1","937413061"<endrec>
"-1","11","2","12201","","2017-09-25 00:00:00.000000","203000000000018910","2017-09-25 10:27:07.000000","TZS","1","1","-1","Aux_conut","2018-04-24 00:00:00.000000","","1000","203000000000018910","2018-04-24 12:45:19.250000","","","","","0","Aux_conut","1","","","50","1","937414123"<endrec>
"-1","11","2","11201","","2017-09-27 00:00:00.000000","203000000000027802","2017-09-27 05:24:09.000000","TZS","5","1","-1","B2C_Org1","2017-11-29 00:00:00.000000","","5000","203000000000027802","2017-09-27 05:24:17.048000","","","","","0","B2C_Org1","1","","","30","1","937415121"<endrec>
"-1","11","1","13002","","2017-10-11 00:00:00.000000","203000000000019121","2017-10-11 12:28:22.000000","TZS","1","1","-1","Accumulator_V","2017-10-11 00:00:00.000000","","5000","203000000000019121","2017-10-11 13:46:45.123000","","","","","0","Accumulator_V","1","","","50","1","937417114"<endrec>
"-1","11","1","13002","","2017-10-11 00:00:00.000000","203000000000019121","2017-10-11 13:46:35.000000","TZS","1","1","-1","Accumulator_V","2049-08-01 00:00:00.000000","","5000","203000000000019121","2017-10-11 13:46:45.128000","","","","","0","Accumulator_V","1","","","30","1","937417118"<endrec>
"-1","11","1","13003","","2017-10-11 00:00:00.000000","203000000000019121","2017-10-11 13:57:06.000000","TZS","1","1","-1","Amount1","2017-10-30 00:00:00.000000","","5000","203000000000027802","2017-10-30 03:37:00.296000","","","","","0","Amount1","1","","","50","1","937417119"<endrec>
"-1","11","1","13004","","2017-10-12 00:00:00.000000","203000000000014911","2017-10-12 08:50:23.000000","999","1","1","-1","Accumulator_Amount_Loyalty","2035-08-01 00:00:00.000000","","1000","203000000000014911","2017-10-12 08:50:33.822000","","","","","0","Accumulator_Amount_Loyalty","1","","","30","1","937417144"<endrec>
"-1","11","1","13005","","2017-10-12 00:00:00.000000","203000000000014911","2017-10-12 09:51:31.000000","999","1","1","-1","Accumulator_Amount_Loyalty_Goods","2035-08-01 00:00:00.000000","","5000","203000000000014911","2017-10-12 09:51:42.974000","","","","","0","Accumulator_Amount_Loyalty_Goods","1","","","30","1","937417153"<endrec>
"-1","11","1","13003","","2017-10-30 00:00:00.000000","203000000000027802","2017-10-30 03:36:51.000000","TZS","3","1","-1","Amount1","2017-10-30 00:00:00.000000","","5000","203000000000027802","2017-10-30 03:42:33.366000","","","","","0","Amount1","1","","","50","1","937421140"<endrec>
"-1","11","1","13003","","2017-10-30 00:00:00.000000","203000000000027802","2017-10-30 03:42:25.000000","TZS","3","1","-1","Amount1","2035-08-01 00:00:00.000000","","5000","203000000000027802","2017-10-30 03:42:33.375000","","","","","0","Amount1","1","","","30","1","937421141"<endrec>
"-1","11","2","13203","","2017-11-16 00:00:00.000000","203000000000014912","2017-11-16 13:14:08.000000","TZS","2","1","-1","","2023-10-18 00:00:00.000000","","5000","203000000000014912","2017-11-16 13:14:25.141000","","","","","0","B2C_Deposit","","","200","30","1","937428332"<endrec>
"-1","11","1","13401","","2017-11-20 00:00:00.000000","203000000000019121","2017-11-20 06:38:33.000000","TZS","1","1","-1","Accumulator_Value33","2017-11-20 00:00:00.000000","","5000","203000000000019121","2017-11-20 06:47:36.504000","","","","","0","Accumulator_Value33","1","","","50","1","937430137"<endrec>
"-1","11","1","13401","","2017-11-20 00:00:00.000000","203000000000019121","2017-11-20 06:47:26.000000","TZS","1","1","-1","Accumulator_Value33","2050-08-01 00:00:00.000000","","5000","203000000000019121","2017-11-20 06:47:36.511000","","","","","0","Accumulator_Value33","1","","","30","1","937430138"<endrec>
"-1","11","2","12301","","2017-11-29 00:00:00.000000","203000000000010806","2017-11-29 11:42:16.000000","TZS","1","0","20","","2018-11-30 00:00:00.000000","","1000","203000000000010806","2017-11-29 11:42:27.209000","","","","","0","Acc_5351","","","200","30","1","937433182"<endrec>
"-1","11","1","13712","","2017-12-12 00:00:00.000000","203000000000015728","2017-12-12 07:42:56.000000","TZS","1","1","-1","Accumulator_Amount_group","2017-12-31 00:00:00.000000","","7000","203000000000015728","2017-12-12 07:43:10.759000","","","","","0","Accumulator_Amount_group","1","","","30","1","937437178"<endrec>
"-1","11","2","12602","","2018-01-10 00:00:00.000000","203000000000015728","2018-01-10 11:57:27.000000","TZS","1","1","-1","Aux_testorg","2018-01-10 00:00:00.000000","","5000","203000000000015728","2018-01-10 12:34:12.050000","","","","","0","Aux_testorg","1","","","50","1","937451305"<endrec>
"-1","11","2","12602","","2018-01-10 00:00:00.000000","203000000000015728","2018-01-10 12:34:03.000000","TZS","1","1","-1","Aux_testorg","2018-01-10 00:00:00.000000","","5000","203000000000015728","2018-01-10 13:52:24.356000","","","","","0","Aux_testorg","1","","","50","1","937451309"<endrec>
"-1","11","2","12602","","2018-01-10 00:00:00.000000","203000000000015728","2018-01-10 13:52:16.000000","TZS","1","1","-1","Aux_testorg","2059-06-09 00:00:00.000000","","5000","203000000000015728","2018-01-10 13:52:24.361000","","","","","0","Aux_testorg","1","","","30","1","937451317"<endrec>
"-1","11","2","14003","","2018-01-18 00:00:00.000000","203000000000014911","2018-01-18 10:24:03.000000","TZS","1","1","-1","Agent_Deposit_Volume","2030-01-31 00:00:00.000000","","5000","203000000000014911","2018-01-18 10:25:13.018000","","","","","0","Agent_Deposit_Volume","1","","","30","1","937455411"<endrec>
"10011","12","2","14502","","2018-03-09 00:00:00.000000","203000000000016349","2018-03-09 07:00:52.000000","TZS","1","1","-1","","2051-10-12 00:00:00.000000","","1000","203000000000016349","2018-03-09 07:01:39.317000","","","","","0","SendMoneyCountWeb","1","","","30","1","937467690"<endrec>
"10011","12","2","14503","","2018-03-09 00:00:00.000000","203000000000016349","2018-03-09 08:13:47.000000","TZS","1","3","-1","","2051-10-04 00:00:00.000000","","1000","203000000000016349","2018-03-09 08:14:08.863000","","","","","0","SendMoneyCountWeb1","1","","","30","1","937467707"<endrec>
"-1","11","2","14602","","2018-03-12 00:00:00.000000","203000000000016350","2018-03-12 12:34:18.000000","TZS","1","1","-1","AAccumulator_Count_Roshi","2018-04-25 00:00:00.000000","","1000","203000000000019121","2018-04-25 09:38:01.269000","","","","","0","AAccumulator_Count_Roshi","1","","","50","1","937468588"<endrec>
"-1","11","1","11104","","2018-03-20 00:00:00.000000","203000000000014909","2018-03-20 06:33:18.000000","TZS","1","1","-1","Accumulator_Value","2018-04-25 00:00:00.000000","","5000","203000000000019121","2018-04-25 07:16:36.446000","","","","","0","Accumulator_Value","1","","","50","1","937470542"<endrec>
"10011","12","2","14901","","2018-04-19 00:00:00.000000","203000000000016349","2018-04-19 08:04:45.000000","TZS","2","1","-1","","2066-10-12 00:00:00.000000","","1000","203000000000016349","2018-04-19 08:05:35.313000","","","","","0","BuyAirTimeCount","1","","","30","1","937477541"<endrec>
"10011","12","2","14902","","2018-04-19 00:00:00.000000","203000000000016349","2018-04-19 08:37:03.000000","TZS","2","1","-1","","2018-04-19 00:00:00.000000","","1000","203000000000016349","2018-04-19 08:49:22.633000","","","","","0","PayMerchantCount","1","","","50","1","937477550"<endrec>
"-1","11","2","15001","","2018-04-24 00:00:00.000000","203000000000014911","2018-04-24 08:58:20.000000","TZS","1","1","-1","","2030-12-31 00:00:00.000000","","5000","203000000000014911","2018-04-24 08:58:40.705000","","","","","0","B2C_OrgCritical","1","","","30","1","937481578"<endrec>
"-1","11","2","12201","","2018-04-24 00:00:00.000000","203000000000018910","2018-04-24 11:50:02.000000","TZS","1","1","-1","Aux_conut","2018-06-19 00:00:00.000000","","1000","203000000000019121","2018-06-19 11:43:06.053000","","","","","0","Aux_conut","1","","","50","1","937481583"<endrec>
"-1","11","1","11104","","2018-04-25 00:00:00.000000","203000000000019121","2018-04-25 07:15:29.000000","TZS","1","1","-1","Accumulator_Value","2018-06-19 00:00:00.000000","","5000","203000000000019121","2018-06-19 08:19:27.317000","","","","","0","Accumulator_Value","1","","","50","1","937481608"<endrec>
"-1","11","1","15005","","2018-04-25 00:00:00.000000","203000000000019121","2018-04-25 07:52:44.000000","TZS","1","1","-1","Accumulator_V","2018-12-17 00:00:00.000000","","1000","203000000000015728","2018-12-17 11:29:03.668000","","","","","0","Acc_Value_Udeni","1","","","50","1","937481612"<endrec>
"-1","11","2","14602","","2018-04-25 00:00:00.000000","203000000000019121","2018-04-25 09:37:17.000000","TZS","1","1","-1","AAccumulator_Count_Roshi","2018-06-18 00:00:00.000000","","1000","203000000000016349","2018-06-18 08:18:57.657000","","","","","0","AAccumulator_Count_Roshi","1","","","50","1","937481632"<endrec>
"-1","11","1","15102","","2018-04-27 00:00:00.000000","203000000000016350","2018-04-27 07:33:21.000000","TZS","1","1","-1","AAccumulator_Value_Roshi","2018-06-25 00:00:00.000000","","1000","203000000000019121","2018-06-25 08:07:34.365000","","","","","0","AAccumulator_Value_Roshi","1","","","50","1","937483574"<endrec>
"-1","11","1","15103","","2018-04-27 00:00:00.000000","203000000000016350","2018-04-27 07:42:31.000000","TZS","1","1","-1","AAAccumulator_Value_Roshi","2018-04-28 00:00:00.000000","","5000","203000000000026102","2018-04-28 09:07:57.584000","","","","","0","AAAccumulator_Value_Roshi","1","","","50","1","937483576"<endrec>
"-1","11","1","15103","","2018-04-28 00:00:00.000000","203000000000026102","2018-04-28 09:07:40.000000","TZS","1","1","-1","AAAccumulator_Value_Roshi","2018-04-28 00:00:00.000000","","5000","203000000000026102","2018-04-28 10:53:48.727000","","","","","0","AAAccumulator_Value_Roshi","1","","","50","1","937485585"<endrec>
"-1","11","1","15103","","2018-04-28 00:00:00.000000","203000000000026102","2018-04-28 10:53:39.000000","TZS","1","1","-1","AAAccumulator_Value_Roshi","2018-05-02 00:00:00.000000","","5000","203000000000034103","2018-05-02 10:08:39.518000","","","","","0","AAAccumulator_Value_Roshi","1","","","50","1","937486587"<endrec>
